t_sec,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos
0.766979,0.0,0.46049068405451704,-0.456747554329553,0.0,0.5213542498464456,0.0
0.777133,0.0,0.46099482497071786,-0.4569027718234965,0.0,0.5214765617296314,0.0
0.787084,0.0,0.46148684189011147,-0.45705540226482694,0.0,0.5215959161207577,0.0
0.797069,0.0,0.46198037177497364,-0.4572096491999436,0.0,0.5217156223732968,0.0
0.807028,0.0,0.46247096923864195,-0.45736412847755015,0.0,0.5218346030724041,0.0
0.817047,0.0,0.4629633714337707,-0.4575203381312681,0.0,0.5219540078969448,0.0
0.827011,0.0,0.4634513376884663,-0.4576762994712823,0.0,0.5220723243906286,0.0
0.836972,0.0,0.463938224113119,-0.4578330760335871,0.0,0.5221903672848216,0.0
0.847046,0.0,0.46442837268844206,-0.457992084500363,0.0,0.5223091899715337,0.0
0.857049,0.0,0.46491363310891676,-0.45815068578822354,0.0,0.5224268174768126,0.0
0.867107,0.0,0.46540080348799334,-0.45831110196030844,0.0,0.5225448985566498,0.0
0.877062,0.0,0.465881590294127,-0.4584705967445683,0.0,0.522661423927738,0.0
0.887023,0.0,0.4663610952605336,-0.4586308454491629,0.0,0.5227776310533502,0.0
0.897261,0.0,0.46685108117137974,-0.4587958249285469,0.0,0.5228963712266601,0.0
0.907022,0.0,0.46731975246927576,-0.4589548003622749,0.0,0.5230099403210948,0.0
0.917044,0.0,0.46779790347386946,-0.45911818433649293,0.0,0.5231258014813803,0.0
0.927042,0.0,0.46827319827701414,-0.45928179800711966,0.0,0.5232409662833875,0.0
0.936997,0.0,0.46874542213307874,-0.45944555658267605,0.0,0.5233553835825262,0.0
0.947099,0.0,0.4692230269936567,-0.4596124118910683,0.0,0.5234711020485461,0.0
0.957044,0.0,0.4696917703108173,-0.45977738669539725,0.0,0.5235846717181117,0.0
0.967086,0.0,0.4701634403125279,-0.4599446189639205,0.0,0.5236989495750239,0.0
0.977097,0.0,0.47063273124441435,-0.46011224191749994,0.0,0.5238126509604173,0.0
0.987016,0.0,0.47109545488961163,-0.46027873665518704,0.0,0.5239247619699837,0.0
0.997019,0.0,0.47156113694748003,-0.46044752880388656,0.0,0.5240375913699615,0.0
1.007005,0.0,0.47202467154876687,-0.460616783429207,0.0,0.524149902918996,0.0
