t_sec,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint1_master_err,joint2_master_err,joint3_master_err,joint4_master_err,joint5_master_err,joint6_master_err
0.0,0.04277727250182997,0.4536202774770857,-0.5009339787844878,0.0390042845254593,0.49267405463763436,-0.0005909169182342673,,,,,,
0.002328,0.0428895058851374,0.4538570121683197,-0.5010638451381427,0.03908946826819924,0.49264659833620683,-0.0005395509739377939,,,,,,
0.004334,0.043001654339224864,0.4540905749804206,-0.5011953879734555,0.039174537614946,0.4926179473758912,-0.0004876227223842957,,,,,,
0.006264,0.043113718396411316,0.45432094239347354,-0.5013286034367539,0.03925949137498181,0.49258809306498275,-0.0004351357341554768,,,,,,
0.008155,0.043225704001454264,0.454548221426281,-0.5014634003011114,0.03934433733346843,0.49255707691813216,-0.0003821205108829504,,,,,,
0.010134,0.04333796423339983,0.4547868181811244,-0.5015938672444108,0.0394297153908025,0.49252968463151686,-0.0003305924079701313,,,,,,
0.012102,0.04345018692012143,0.45502343082398755,-0.5017252049719954,0.03951505882723743,0.4925015554754061,-0.0002787504924904417,,,,,,
0.013967,0.04356232534982142,0.45525690986076767,-0.5018581742348754,0.039600289272138656,0.49247224949038154,-0.00022636105941697352,,,,,,
0.015899,0.04367437997939449,0.45548723053243756,-0.5019927725236564,0.03968540547756474,0.49244175767236215,-0.00017342719274675368,,,,,,
0.018067,0.04378635659476995,0.4557144980234421,-0.5021289104078475,0.03977041510393451,0.4924101209288873,-0.00011997876593957097,,,,,,
0.020499,0.04389860308842705,0.455953118412677,-0.5022606936372146,0.0398559556478491,0.49238211787957864,-6.802786099953612e-05,,,,,,
0.022799,0.044010811752772425,0.4561897862268708,-0.5023933100229271,0.039941462311326933,0.4923533930893576,-1.5775306407505973e-05,,,,,,
0.024962,0.0441229363179236,0.4564233507033064,-0.5025275209625033,0.040026856868057535,0.4923235067143222,3.7012799969573105e-05,,,,,,
0.02696,0.04423497715717401,0.4566537855230721,-0.5026633253878995,0.04011213798341178,0.49229244927539917,9.033386750004108e-05,,,,,,
0.02884,0.044346939915887305,0.4568811943428179,-0.5028006353415215,0.040197313207079095,0.49226026115381183,0.0001441585283289637,,,,,,
0.030846,0.044459168091949976,0.4571200174471186,-0.5029335597654376,0.040283019105167295,0.4922317252403877,0.00019647317506759713,,,,,,
0.032734,0.04457135775462553,0.45735691427933867,-0.5030672855307936,0.040368691497735525,0.4922024810517573,0.0002490794029058707,,,,,,
0.034551,0.044683462977003124,0.45759073017308166,-0.5032025763449254,0.040454252121351855,0.4921720878156315,0.00030221180830310396,,,,,,
