t_sec,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos
0.0,0.039597468850290675,0.5544816754131046,-0.7056994849044825,0.2986200362271162,0.5261366088740406,-0.2916022404843169
0.001957,0.03970413596333027,0.5547690873144937,-0.7060252667166078,0.29884735912977706,0.5261213654957647,-0.2917141716228254
0.003778,0.03980469555005944,0.5550354221790952,-0.7063195707297869,0.29900864100583485,0.5260864516956206,-0.2917566274023714
0.005613,0.03990551363868457,0.5552960514330763,-0.7066113612628162,0.29916939163839684,0.5260502609920689,-0.2917988031233336
0.007493,0.04000728982736397,0.555553004936892,-0.7069040860364931,0.29933714620314933,0.5260149530837746,-0.29184862236756426
0.009185,0.04011004837645027,0.5558067000764256,-0.7071981308873719,0.2995124983157808,0.5259807422575815,-0.29190667603139825
0.011114,0.040276948529782065,0.556241670205058,-0.7077985270913677,0.3003573866195519,0.5261392469022357,-0.2926702884178993
0.012952,0.040384273946854544,0.5565277965809655,-0.7081252813073462,0.3005892637827495,0.5261245974116628,-0.2927864544555831
0.014807,0.040485480504046774,0.5567927906647638,-0.7084204753498207,0.30075515297944555,0.526090264753019,-0.2928332054393998
0.016629,0.040586909358634696,0.5570521679761193,-0.7087131183408693,0.3009203218276456,0.526054630552209,-0.2928794652229442
0.018461,0.040689259112437356,0.5573079697832682,-0.7090066631653382,0.3010922846157717,0.5260198541551729,-0.29293313472983695
0.020294,0.04085584687308071,0.5577473542278644,-0.7096085663858696,0.3019344565496645,0.5261786402545094,-0.29369298416036266
0.022111,0.04096279479763974,0.5580357134287464,-0.7099349713819509,0.3021630258088865,0.5261634972232645,-0.29380486911726883
0.023933,0.04106363892296136,0.5583026052283631,-0.7102295961470019,0.3023256485680825,0.526128600009169,-0.29384741393616154
0.025777,0.04116472828948368,0.558563770687986,-0.7105216460919127,0.30248766292846185,0.5260924135082912,-0.2938896064955442
0.027556,0.04126676089048333,0.558821281819001,-0.7108145977609428,0.30265658670813395,0.5260571060968966,-0.2939393490612448
0.029322,0.041431369457998996,0.5592595036653681,-0.7114093935799274,0.3034780436562187,0.5262108568440365,-0.2946765575686698
0.031285,0.041537952476984955,0.5595486860242448,-0.7117345726189045,0.30370256955092734,0.5261947953828175,-0.2947835149818868
0.033115,0.041638633356486626,0.5598166067526911,-0.7120286772543554,0.30386319588230154,0.5261594871897805,-0.2948233158359896
0.034931,0.04173959109766185,0.5600787950893228,-0.7123202920809965,0.3040235053153819,0.5261229623918907,-0.29486308348073414
0.036793,0.04184150262609849,0.5603372990482026,-0.7126128190018998,0.30419080279224636,0.5260873366546934,-0.29491049362637484
0.038607,0.04194438926588021,0.560592537471317,-0.7129066381341349,0.30436565524408216,0.5260528185947759,-0.29496610812503443
0.040482,0.042109554159903306,0.5610303523401143,-0.713502957719854,0.3051905741536416,0.5262072797059661,-0.29570636691788327
0.042322,0.04221686429373283,0.5613177615789625,-0.7138290578186525,0.30542033226430787,0.5261919474870079,-0.29581838771783847
0.044138,0.04231824852553466,0.561583866959826,-0.7141239829318153,0.3055861683843435,0.5261573415040344,-0.2958632276471106
0.045931,0.042419865073835085,0.5618443491790794,-0.7144163774216462,0.3057514597942911,0.5261214877352561,-0.2959077775663528
0.047808,0.0425223907993653,0.562101267458643,-0.7147096500262844,0.30592349625039333,0.5260865026408619,-0.29595969689218143
0.049477,0.04268697775938024,0.5625421823219645,-0.715305929257156,0.3067430233086311,0.5262403806384877,-0.29669345221112664
0.051468,0.04279393226984466,0.5628312479759768,-0.715631484405021,0.3069697842124827,0.5262245586715167,-0.29680160529813504
0.053276,0.04289500378984389,0.5630987831020609,-0.7159258045632844,0.3071329890445757,0.5261894912875432,-0.2968429914542092
0.055113,0.042996327750352094,0.563360617267145,-0.7162175874108235,0.3072957680167846,0.5261531955619261,-0.29688423008455944
0.0569,0.043098577124651594,0.5636188301449375,-0.7165102481138612,0.30746537772666505,0.5261177861454495,-0.2969329434700608
0.058796,0.04320177396475643,0.563873840259696,-0.7168041681480429,0.3076423850050158,0.5260834720600738,-0.29698969378058726
0.06059,0.043366595924239505,0.5643142734922446,-0.7174010474556319,0.30846287055984445,0.5262374920750917,-0.29772383825345516
0.062423,0.043474104805648214,0.5646017950266686,-0.7177272348423193,0.3086938730193282,0.5262222481730535,-0.2978359944353916
0.064294,0.043575730831720956,0.5648677632771713,-0.7180221631966962,0.3088615037467701,0.5261877854495043,-0.29788158203701526
0.066097,0.04367757333040869,0.5651281261779447,-0.7183145231738025,0.3090285299537471,0.526152072935869,-0.297926821373096
0.067936,0.04378030301588438,0.565384971566273,-0.718607728906009,0.30920217309431847,0.5261172206553812,-0.2979792970701896
0.069651,0.04394358697461057,0.565825977575474,-0.7192001265174189,0.31000772595529574,0.5262679277891089,-0.2986968986478938
