t_sec,mount_tx_pos,mount_ty_pos,mount_tz_pos,mount_rx_pos,mount_ry_pos,mount_rz_pos
0.0,0.015599542282284586,-0.017656172181117914,0.016539448396260065,-0.0838047864133427,-0.011347973958094767,0.020289995608147603
0.001957,0.01564552778851023,-0.017708220375934364,0.016588204628554048,-0.08405183247774717,-0.011381426370842225,0.020349807986131046
0.003778,0.015691533191884238,-0.01776029109112168,0.016636981956842566,-0.08429898543479239,-0.011414893257881134,0.020409646243915686
0.005613,0.015737558252681954,-0.017812384055350107,0.01668578012695702,-0.08454624399661531,-0.011448374444822454,0.02046951006969671
0.007493,0.015783602731178677,-0.017864498997289858,0.016734598884728787,-0.08479360687535271,-0.01148186975727712,0.020529399151669257
0.009185,0.01582966638764975,-0.01791663564561118,0.016783437975989274,-0.08504107278314153,-0.011515379020856087,0.02058931317802852
0.011114,0.015875748982370482,-0.0179687937289843,0.016832297146569863,-0.0852886404321186,-0.011548902061170301,0.020649251836969657
0.012952,0.015921850275616184,-0.018020972976079436,0.016881176142301942,-0.08553630853442071,-0.011582438703830697,0.020709214816687818
0.014807,0.015967970027662193,-0.018073173115566832,0.01693007470901691,-0.08578407580218482,-0.011615988774448234,0.020769201805378192
0.016629,0.016014107998783816,-0.018125393876116707,0.01697899259254615,-0.08603194094754767,-0.011649552098633848,0.02082921249123592
0.018461,0.01606026394925639,-0.018177634986399308,0.017027929538721065,-0.08627990268264625,-0.011683128501998496,0.0208892465624562
0.020294,0.016106437639355226,-0.018229896175084852,0.017076885293373038,-0.08652795971961734,-0.01171671781015312,0.020949303707234176
0.022111,0.01615262882935564,-0.01828217717084357,0.01712585960233345,-0.08677611077059778,-0.011750319848708658,0.02100938361376501
0.023933,0.01619883727953296,-0.018334477702345697,0.017174852211433715,-0.08702435454772449,-0.01178393444327607,0.021069485970243888
0.025777,0.016245062750162503,-0.01838679749826146,0.017223862866505204,-0.08727268976313426,-0.01181756141946629,0.021129610464865962
0.027556,0.016291305001519596,-0.01843913628726109,0.01727289131337932,-0.08752111512896403,-0.011851200602890275,0.0211897567858264
0.029322,0.01633756379387956,-0.01849149379801483,0.017321937297887453,-0.08776962935735061,-0.011884851819158966,0.02124992462132038
0.031285,0.016383838887517703,-0.018543869759192887,0.017371000565860988,-0.08801823116043082,-0.011918514893883306,0.021310113659543047
0.033115,0.016430130042709358,-0.018596263899465507,0.01742008086313132,-0.0882669192503416,-0.011952189652674248,0.021370323588689583
0.034931,0.016476437019729836,-0.018648675947502913,0.017469177935529833,-0.0885156923392197,-0.01198587592114273,0.021430554096955143
0.036793,0.016522759578854473,-0.01870110563197535,0.017518291528887935,-0.08876454913920212,-0.012019573524899711,0.021490804872534915
0.038607,0.016569097480358577,-0.018753552681553036,0.017567421389037004,-0.08901348836242562,-0.012053282289556126,0.021551075603624043
0.040482,0.016615450484517468,-0.018806016824906194,0.01761656726180843,-0.08926250872102705,-0.012087002040722923,0.021611365978417695
0.042322,0.01666181835160648,-0.018858497790705073,0.01766572889303361,-0.08951160892714333,-0.012120732604011053,0.02167167568511105
0.044138,0.016708200841900913,-0.018910995307619888,0.017714906028543927,-0.08976078769291124,-0.012154473805031457,0.021732004411899257
0.045931,0.01675459771567611,-0.01896350910432088,0.01776409841417079,-0.09001004373046774,-0.01218822546939509,0.021792351846977503
0.047808,0.016801008733207383,-0.01901603890947828,0.017813305795745575,-0.09025937575194962,-0.012221987422712889,0.021852717678540943
0.049477,0.016847433654770042,-0.019068584451762304,0.017862527919099667,-0.0905087824694937,-0.0122557594905958,0.021913101594784733
0.051468,0.016893872240639422,-0.019121145459843197,0.017911764530064475,-0.09075826259523692,-0.012289541498654775,0.02197350328390406
0.053276,0.016940324251090832,-0.019173721662391178,0.017961015374471374,-0.09100781484131608,-0.012323333272500755,0.022033922434094067
0.055113,0.016986789446399607,-0.019226312788076495,0.018010280198151773,-0.0912574379198681,-0.012357134637744694,0.022094358733549944
0.0569,0.017033267586841067,-0.019278918565569368,0.018059558746937054,-0.09150713054302981,-0.012390945419997535,0.02215481187046685
0.058796,0.01707975843269051,-0.019331538723540015,0.018108850766658594,-0.09175689142293798,-0.012424765444870216,0.022215281533039935
0.06059,0.01712626174422328,-0.01938417299065869,0.018158156003147803,-0.09200671927172961,-0.012458594537973695,0.022275767409464388
0.062423,0.017172777281714686,-0.0194368210955956,0.018207474202236062,-0.09225661280154145,-0.012492432524918908,0.022336269187935354
0.064294,0.017219304805440063,-0.019489482767021,0.018256805109754776,-0.09250657072451045,-0.012526279231316816,0.02239678655664802
0.066097,0.017265844075674722,-0.019542157733605108,0.018306148471535322,-0.09275659175277341,-0.012560134482778354,0.022457319203797545
0.067936,0.017312394852693976,-0.01959484572401814,0.01835550403340909,-0.09300667459846715,-0.012593998104914463,0.02251786681757908
0.069651,0.01735895689677316,-0.019647546466930354,0.01840487154120748,-0.09325681797372863,-0.012627869923336104,0.022578429086187814
0.071642,0.017405529968187578,-0.019700259691011957,0.018454250740761877,-0.09350702059069459,-0.012661749763654207,0.022639005697818893
0.073375,0.01745211382721257,-0.0197529851249332,0.01850364137790368,-0.093757281161502,-0.012695637451479736,0.0226995963406675
