t_sec,world_pos_err_m,world_orient_err_rad,base_pos_err_m,base_orient_err_rad
0.020094,0.001325815668668314,0.002635830219918728,0.001380656672070049,0.00291785551550749
0.021328,0.0013276401492610345,0.0026350919475241763,0.0013664947307188745,0.0026667743941631546
0.022178,0.001330602832423656,0.0026328293969748663,0.0013674268540280418,0.0026370446564955735
0.02303,0.0013337856255019036,0.00263092907715983,0.0013702216013295311,0.0026341034301467768
0.023863,0.0013370383289809783,0.0026295466687888676,0.0013733078941064703,0.002634790515465621
0.024697,0.0013403171999831266,0.00262864705415168,0.0013764711032953592,0.002636265152513812
0.025692,0.0013301446487098232,0.0026416189668638838,0.0013846620819931731,0.002925759075119574
0.026595,0.0013319185823481832,0.0026410725592513375,0.0013706344579609464,0.0026745334987527507
0.027452,0.0013349077939360614,0.0026391053106979284,0.0013716335468273555,0.002645016347364168
0.028309,0.0013381071225723766,0.002637476837283503,0.0013744650664726172,0.0026422990081362
0.029163,0.0013413592443256412,0.0026363313428299563,0.001377566435571109,0.0026431778100072995
0.030367,0.001331632644120006,0.0026495574111954955,0.0013864054159408662,0.002933581751333193
0.031758,0.0013334005454693058,0.0026488067412439556,0.0013722095903537347,0.0026816066112355253
0.033248,0.0013363402022172647,0.0026466009321680284,0.0013731299475240929,0.0026518125942538275
0.0345,0.0013394932481151725,0.002644747235169412,0.0013759012628940753,0.0026488901094911276
0.035744,0.001342706350835535,0.0026433936742499857,0.001378952583329757,0.002649588187121617
0.037242,0.0013335755718057196,0.0026563027909136303,0.0013879814133742586,0.002932816943819469
0.038882,0.0013353493545343149,0.002655374377202036,0.001374140067219734,0.0026870768174166227
0.040193,0.0013382484927738272,0.002653039135198266,0.0013750551049407733,0.002657920402931779
0.041425,0.0013413584221244278,0.002651067963236429,0.0013777825696117921,0.0026549841607894243
0.042682,0.0013445306263304196,0.0026496039555444343,0.001380788422995289,0.0026555957774599573
0.044003,0.001347722466461785,0.0026486114477401504,0.001383863517004023,0.0026569744003545628
0.045308,0.001337578548533658,0.002660431253727062,0.0013915956072189086,0.0029395093494169835
0.04648,0.001339286663918251,0.002659735855166453,0.001377898061889726,0.0026934675026283753
0.047643,0.0013422071731138934,0.0026577430018676624,0.0013788804441435107,0.002664539999386796
0.048813,0.0013453279405568177,0.002656086901081143,0.0013816419599414517,0.0026618596538047525
0.05011,0.0013484924487520314,0.0026548984715652063,0.001384658156032846,0.0026626927885420857
0.051225,0.001338719905605547,0.0026667949571944414,0.0013928339667659587,0.0029446945360675145
0.053481,0.001340421593410627,0.0026659316113933312,0.0013790735800273829,0.002699082385223554
0.054591,0.0013433004529671195,0.0026637589827586197,0.0013800005181235284,0.002670064279814517
0.056728,0.0013463808784661081,0.0026619334091877453,0.001382712492008272,0.0026672431570283223
0.05866,0.001349509672298338,0.0026605871906229704,0.0013856850499884732,0.0026679400097123804
0.060557,0.0013526455745848892,0.0026596857133311075,0.0013887123751450757,0.002669376225824931
0.061716,0.0013420376850306881,0.00267056594913755,0.0013957570746697622,0.0029500117054096684
0.064166,0.0013436769120459932,0.0026698800736943426,0.0013821577992736206,0.002704756815570882
0.066642,0.0013465654108728068,0.0026679877245674613,0.0013831384985835361,0.002675994022102883
0.067847,0.0013496464024991468,0.0026664198083143683,0.0013858710294331075,0.0026733856951451423
0.069021,0.0013527601108989458,0.002665297270787966,0.0013888435349338384,0.0026742579021231203
0.071658,0.0013427474174873028,0.002676103621578161,0.0013962969123157115,0.0029504088095918665
0.07303,0.0013444022727945092,0.0026752321416547483,0.0013828786384418176,0.0027090883900794714
0.074891,0.0013472558918638771,0.00267316869408946,0.0013838364051848185,0.002680657930881488
0.07674,0.0013503006774240576,0.002671441900316534,0.0013865271738531916,0.00267796792560366
0.078537,0.0013533818629721374,0.0026701713504073566,0.001389460215280629,0.002678718165537929
0.08058,0.001356459637494822,0.0026693229378787543,0.0013924355444253406,0.00268017813191971
0.082535,0.001345597615210132,0.0026791829509904006,0.0013988102601195827,0.0029558897655824054
0.083652,0.0013471811002954113,0.002678479028533447,0.0013854888345508258,0.0027141254837722254
0.085923,0.0013500352168140173,0.002676675545707247,0.0013864838302481107,0.0026858366064768644
0.087817,0.0013530727498866192,0.0026751865905523245,0.0013891854632593905,0.002683327857586435
0.089583,0.0013561323269169452,0.0026741215283765368,0.0013921108261072152,0.0026842335521414626
0.09165,0.0013458281383111014,0.0026839764367960414,0.0013989351639026478,0.0029565392426578437
0.092912,0.0013474266302736433,0.002683091270093558,0.0013857284104506306,0.002717782352751275
0.094803,0.0013502469916872918,0.0026811107378658812,0.0013866938424244326,0.002689711626907583
0.096758,0.0013532499056934063,0.0026794564961914245,0.0013893541134528532,0.002687103029416528
0.098534,0.001356278777516093,0.002678237628006353,0.0013922414550865954,0.0026878807840971615
0.100264,0.0013592950105955023,0.0026774205870666746,0.0013951602319620382,0.002689343654393665
0.101981,0.0013482138720352908,0.0026863468276639266,0.001400949043268619,0.002960669927035921
0.104338,0.0013497389154262481,0.002685609789015188,0.0013878635212717504,0.0027219717247539766
0.10586,0.0013525515617556377,0.002683868914286116,0.001388859906892201,0.0026940840686927535
0.110095,0.001355539521784946,0.0026824337603939363,0.0013915226447888576,0.0026916452677300177
