t_sec,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint6_master_err
0.255957,0.08683455677592784,0.6301803838906543,-0.8329276534952199,0.4348149118955602,0.5237630519948979,-0.3800313328080266,-0.3800313328080266
0.257865,0.08689620256638812,0.630385153920894,-0.8330699783699123,0.43480784508829845,0.5237193732857622,-0.3799293740641081,-0.3799293740641081
0.259493,0.08695847061335567,0.6305855950098932,-0.8332131864808712,0.4348084847704012,0.5236772398708613,-0.37983604876401517,-0.37983604876401517
0.26111,0.0870213622152307,0.630782153378483,-0.8333576258431817,0.4348174020057213,0.5236368538250928,-0.3797518903748856,-0.3797518903748856
0.262847,0.08712461617824366,0.6311811469769799,-0.8337990132754948,0.4355169744814648,0.523800296940589,-0.3803639133715906,-0.3803639133715906
0.264667,0.08718916692225664,0.6314126488056807,-0.8339720724598805,0.43557877488363184,0.5237785730276763,-0.3803314895565694,-0.3803314895565694
0.2666,0.08724977390724893,0.6316202101401808,-0.8341142074773362,0.4355724034073026,0.5237363822902711,-0.38023101119865804,-0.38023101119865804
0.268358,0.08731054377615075,0.6318212464930962,-0.8342538338239008,0.43556577497971743,0.5236934170562606,-0.38013114983199475,-0.38013114983199475
0.270124,0.08741110415792364,0.6322231699886237,-0.8346872951573694,0.4362396298403518,0.5238515967944309,-0.3807171406483309,-0.3807171406483309
0.272014,0.08747361111501686,0.6324578996982495,-0.8348549679988203,0.43628526093731423,0.5238269777476664,-0.3806685469479713,-0.3806685469479713
0.273845,0.08753231989106454,0.6326684929144177,-0.8349920900735045,0.4362643370310209,0.5237822765785465,-0.38055361692359635,-0.38055361692359635
0.275668,0.08759127231172481,0.6328723188206525,-0.835126815552229,0.4362438018212425,0.5237369418822813,-0.380440021326692,-0.380440021326692
0.277532,0.08765089476591062,0.6330716547204975,-0.8352624651846043,0.4362312919294748,0.5236932262495191,-0.38033543396252184,-0.38033543396252184
0.279356,0.08771118399574625,0.6332669554007685,-0.8353993815683072,0.4362273454026479,0.5236513236511243,-0.38024035149812346,-0.38024035149812346
0.28129,0.08781145242560019,0.6336672621077879,-0.8358340494279027,0.43690949651916394,0.523812402888971,-0.38083643568543796,-0.38083643568543796
0.282952,0.0878734288885058,0.6338974769603323,-0.8359997463319404,0.43695851781600703,0.5237891762013288,-0.38079320253340837,-0.38079320253340837
0.285046,0.08793154100285598,0.6341033295436097,-0.8361344708439323,0.4369401326887791,0.5237456365645436,-0.38068277764339103,-0.38068277764339103
0.286737,0.08798985357456454,0.6343025022605729,-0.8362667087668153,0.4369217820662805,0.5237013885396138,-0.3805733098339337,-0.3805733098339337
0.288573,0.08804879793266614,0.6344973031795563,-0.8363998212228886,0.4369111732211434,0.5236587056920083,-0.38047254325369406,-0.38047254325369406
0.290399,0.08810837345468722,0.6346881843609835,-0.8365341562649112,0.43690886319762373,0.5236177866339526,-0.3803809953841447,-0.3803809953841447
0.292194,0.08820742673626622,0.6350844426079122,-0.8369648630898827,0.4375861041172464,0.5237781009952815,-0.3809737109316801,-0.3809737109316801
0.294082,0.08826859394178203,0.6353103427577708,-0.8371277857501761,0.43763582600326617,0.5237556204101106,-0.3809330167842153,-0.3809330167842153
0.295927,0.08832591811963678,0.6355119409055258,-0.8372598408571711,0.43761859849991563,0.5237129684011214,-0.38082560802326354,-0.38082560802326354
0.297676,0.08838341972265804,0.6357069530557677,-0.8373893852697056,0.437601254057484,0.5236695870375483,-0.38071899344526905,-0.38071899344526905
0.299562,0.08844152633666448,0.6358976860597388,-0.837519765346107,0.4375914359430562,0.5236277322259958,-0.3806208508297212,-0.3806208508297212
0.301352,0.08850023835931886,0.63608458690175,-0.8376513280752544,0.4375897021257287,0.5235876021785547,-0.3805316996086702,-0.3805316996086702
0.303397,0.08859677213151394,0.6364707990056409,-0.8380689291767419,0.4382408019848344,0.523740955108779,-0.38109964853586253,-0.38109964853586253
0.305356,0.08865698505540122,0.6366914853742182,-0.8382280979482326,0.4382891655566266,0.5237185903030828,-0.38105946234631827,-0.38105946234631827
0.307283,0.08871351364106093,0.63688854879269,-0.8383574772707773,0.4382733126275945,0.5236768596148734,-0.3809553365115111,-0.3809553365115111
0.308979,0.08877021173031305,0.6370792012118633,-0.838484433056683,0.43825744305892883,0.523634453803541,-0.38085209538288367,-0.38085209538288367
0.31065,0.08882748860683329,0.6372656833624363,-0.8386121937003294,0.4382488942032134,0.5235935406971809,-0.3807571061271347,-0.3807571061271347
0.312372,0.08892299787795016,0.6376558530106328,-0.8390308136928433,0.4389009704444148,0.5237486868527748,-0.38132686253401515,-0.38132686253401515
0.31415,0.08898180475036166,0.6378766764876816,-0.8391866021748742,0.43894302749058534,0.5237257477730192,-0.38128133223443994,-0.38128133223443994
0.316004,0.08903690655270988,0.6380733365603668,-0.8393120910635656,0.438920144415039,0.5236831927463559,-0.3811711831159283,-0.3811711831159283
0.317835,0.0890921986563212,0.6382634429161204,-0.8394351121452623,0.43889730064689725,0.5236399651205408,-0.3810620069281221,-0.3810620069281221
0.319683,0.08914809374344945,0.6384492880209129,-0.8395589493024296,0.43888192075826843,0.523598261527005,-0.3809612551110082,-0.3809612551110082
0.321501,0.08924189090021413,0.6388391632001285,-0.8399728018566343,0.4395220998764001,0.5237513660600426,-0.381519971133028,-0.381519971133028
0.323452,0.08929933608632738,0.6390591347223026,-0.8401246402131083,0.43955724709962174,0.5237275883341609,-0.381468635304349,-0.381468635304349
0.325163,0.08935313453028328,0.6392548187847277,-0.8402462912841775,0.4395281593208668,0.5236843648903102,-0.38135343611553163,-0.38135343611553163
0.327015,0.0894071455057555,0.6394438799974402,-0.8403655018861261,0.4394992979365554,0.5236405135940523,-0.3812394226302941,-0.3812394226302941
0.32884,0.0894617763008494,0.639628620080549,-0.8404855452517123,0.43947802081518605,0.523598214915737,-0.38113397564330315,-0.38113397564330315
0.331008,0.08951702395158814,0.6398094864175611,-0.840606759630447,0.43946485075035163,0.5235576574911374,-0.381037577094644,-0.381037577094644
0.332741,0.08961035211863087,0.6401984052048677,-0.8410217350808988,0.4401122038626276,0.5237135914293386,-0.3816053331951943,-0.3816053331951943
0.334345,0.08966705736856831,0.6404142991524081,-0.8411712591841038,0.4401493034636989,0.523691004595409,-0.3815579742428082,-0.3815579742428082
0.336185,0.08972005553975373,0.6406056228873858,-0.8412901484642198,0.440121332055218,0.5236487359043844,-0.38144591888301077,-0.38144591888301077
0.338013,0.08977323286016668,0.6407903759058053,-0.8414065088532153,0.4400932856370514,0.5236057737738389,-0.3813347336417258,-0.3813347336417258
0.339915,0.08982700145692663,0.6409708949093122,-0.8415236572858605,0.4400725949739434,0.5235643209325735,-0.3812318715988686,-0.3812318715988686
0.342003,0.08988136044693411,0.6411476265826823,-0.8416419378817023,0.44005979997894906,0.5235245703742987,-0.3811378330847782,-0.3811378330847782
0.343767,0.08997245598787712,0.6415276340757556,-0.8420456746877021,0.4406857112663718,0.5236750042130551,-0.38168576799826337,-0.38168576799826337
0.345452,0.09002818835648212,0.6417384360948711,-0.8421914682069958,0.44072153915937773,0.5236526656613717,-0.3816391528344542,-0.3816391528344542
0.347178,0.09008033730868759,0.641925218313045,-0.8423074873782043,0.4406944937661666,0.5236112943599021,-0.3815300707152922,-0.3815300707152922
0.349,0.09013265474677955,0.6421055826185824,-0.8424210420462138,0.4406674263972893,0.5235692681744968,-0.3814219018446219,-0.3814219018446219
0.350834,0.09022198277607302,0.6424921658510693,-0.8428232501030455,0.441283097725227,0.5237189691402808,-0.3819596877674341,-0.3819596877674341
0.35268,0.09027575288772731,0.6427063122064367,-0.8429643141014576,0.4413047610703995,0.5236943616899702,-0.3818991376307524,-0.3818991376307524
0.354511,0.09032598336404334,0.6428958269773363,-0.843075288900312,0.4412635411541968,0.523650635166937,-0.3817761907382806,-0.3817761907382806
