t_sec,joint1_pos,joint1_vel,joint2_pos,joint2_vel,joint3_pos,joint3_vel,joint4_pos,joint4_vel,joint5_pos,joint5_vel,joint6_pos,joint6_vel,joint7_pos,joint7_vel
0.0,-0.2660072699781866,0.0,0.2322427691674699,0.0,-0.7298061041489774,0.0,0.028682418079314993,0.0,0.1865494071986256,0.0,0.03837707380910682,0.0,0.0,0.0
0.020074,-0.26440973430241493,0.0,0.2346585797613337,0.0,-0.7280035447744461,0.0,0.02857348152634998,0.0,0.1855647718886255,0.0,0.03817637998103761,0.0,0.0,0.0
0.039923,-0.2627715808244896,0.0,0.23704063059492825,0.0,-0.7261992917633111,0.0,0.028456837085541933,0.0,0.18453762054146236,0.0,0.03796688909994331,0.0,0.0,0.0
0.059937,-0.2610932555204109,0.0,0.2393888622260008,0.0,-0.7243939486049271,0.0,0.028332538938087272,0.0,0.18346877612048734,0.0,0.03774876746413786,0.0,0.0,0.0
0.080043,-0.2593752075561697,0.0,0.24170323389761064,0.0,-0.7225881171916037,0.0,0.028200639262181994,0.0,0.18235905422877402,0.0,0.03752217982460454,0.0,0.0,0.0
0.099953,-0.2576178890122925,0.0,0.24398372290862408,0.0,-0.7207823975697542,0.0,0.028061188400948418,0.0,0.18120926284710626,0.0,0.03728728933965337,0.0,0.0,0.0
0.119929,-0.2558217546127245,0.0,0.24623032399261277,0.0,-0.7189773876923722,0.0,0.027914235027980256,0.0,0.18002020208511538,0.0,0.03704425753209788,0.0,0.0,0.0
0.140224,-0.25398726146520734,0.0,0.24844304869912537,0.0,-0.717173683180684,0.0,0.027759826310728063,0.0,0.17879266395060234,0.0,0.03679324424996413,0.0,0.0,0.0
0.159924,-0.25211486881330397,0.0,0.2506219247777393,0.0,-0.7153718770951731,0.0,0.027598008071463884,0.0,0.1775274321368229,0.0,0.036534407630677224,0.0,0.0,0.0
0.181098,-0.25020503779978354,0.0,0.25276699556566984,0.0,-0.7135725597157082,0.0,0.027428824945556186,0.0,0.17622528182719616,0.0,0.03626790406860672,0.0,0.0,0.0
0.200275,-0.24825823124104976,0.0,0.2548783193796595,0.0,-0.7117763183304537,0.0,0.02725232053681111,0.0,0.17488697951687893,0.0,0.03599388818585014,0.0,0.0,0.0
0.219991,-0.24627491341229224,0.0,0.25695596891283323,0.0,-0.7099837370332535,0.0,0.02706853756965768,0.0,0.1735132828506534,0.0,0.035712512806135396,0.0,0.0,0.0
0.240115,-0.2442555498430371,0.0,0.2590000306371487,0.0,-0.7081953965291728,0.0,0.026877518037977024,0.0,0.17210494047658034,0.0,0.03542392893172483,0.0,0.0,0.0
0.259974,-0.2422006071227751,0.0,0.2610106042120271,0.0,-0.7064118739478917,0.0,0.026679303350396606,0.0,0.1706626919148781,0.0,0.03512828572320629,0.0,0.0,0.0
0.27995,-0.24011055271634865,0.0,0.26298780189969284,0.0,-0.7046337426646372,0.0,0.026473934471890715,0.0,0.16918726744149445,0.0,0.03482573048205861,0.0,0.0,0.0
0.299885,-0.237985854788777,0.0,0.2649317479877195,0.0,-0.7028615721283588,0.0,0.0262614520615462,0.0,0.16767938798584522,0.0,0.03451640863588105,0.0,0.0,0.0
0.319981,-0.23582698203920682,0.0,0.26684257821922286,0.0,-0.7010959276968463,0.0,0.026041896606371476,0.0,0.16613976504220312,0.0,0.034200463726178965,0.0,0.0,0.0
0.339952,-0.2336344035436779,0.0,0.2687204392311036,0.0,-0.6993373704784964,0.0,0.02581530855104324,0.0,0.1645691005942285,0.0,0.033878037398600236,0.0,0.0,0.0
0.35999,-0.23140858860639782,0.0,0.27056548800071295,0.0,-0.6975864571804501,0.0,0.025581728423500164,0.0,0.16296808705214363,0.0,0.033549269395519624,0.0,0.0,0.0
0.379969,-0.22915000661922594,0.0,0.27237789130125656,0.0,-0.6958437399628117,0.0,0.025341196956309427,0.0,0.1613374072020592,0.0,0.033214297550870325,0.0,0.0,0.0
0.39992,-0.22685912692907376,0.0,0.2741578251662326,0.0,-0.6941097662986875,0.0,0.025093755203744385,0.0,0.15967773416697523,0.0,0.032873257787125104,0.0,0.0,0.0
0.419957,-0.2245364187129333,0.0,0.2759054743631601,0.0,-0.6923850788397761,0.0,0.024839444654525242,0.0,0.15798973137898578,0.0,0.0325262841143315,0.0,0.0,0.0
0.439911,-0.22218235086025365,0.0,0.27762103187681847,0.0,-0.6906702152872549,0.0,0.024578307340186796,0.0,0.15627405256222884,0.0,0.032173508631108336,0.0,0.0,0.0
0.459931,-0.2197973918623915,0.0,0.2793046984021887,0.0,-0.6889657082677151,0.0,0.02431038593904859,0.0,0.15453134172613175,0.0,0.03181506152751323,0.0,0.0,0.0
0.479909,-0.2173820097088703,0.0,0.2809566818472618,0.0,-0.6872720852139073,0.0,0.02403572387577302,0.0,0.15276223316851534,0.0,0.03145107108969352,0.0,0.0,0.0
0.499908,-0.21493667179018858,0.0,0.28257719684584726,0.0,-0.6855898682500642,0.0,0.0237543654165072,0.0,0.15096735148812887,0.0,0.031081663706235347,0.0,0.0,0.0
