t_sec,joint1_err,joint2_err,joint3_err,joint4_err,joint5_err,joint6_err,joint7_err
0.0,0.19958320701155952,0.5402843417382707,-0.7670003561631376,0.030025191516814993,0.18060324783583262,0.007880476519067758,0.0
0.009994,0.19958320701155952,0.5402843417382707,-0.7670003561631376,0.030025191516814993,0.18060324783583262,0.007880476519067758,0.0
0.019793,0.20118074268733116,0.5427001523321344,-0.7651977967886062,0.02953192421433826,0.17961861252583253,0.007679782690998546,0.0
0.029707,0.20118074268733116,0.5427001523321344,-0.7651977967886062,0.02991625496384998,0.17961861252583253,0.007679782690998546,0.0
0.039659,0.2028188961652565,0.545082203165729,-0.7633935437774713,0.029799610523041933,0.1785914611786694,0.007470291809904245,0.0
0.049539,0.2028188961652565,0.545082203165729,-0.7633935437774713,0.029415279773530215,0.1785914611786694,0.007470291809904245,0.0
0.059396,0.2044972214693352,0.5474304347968015,-0.7615882006190873,0.029675312375587272,0.1779059938328897,0.0072521701740988,0.0
0.069379,0.2044972214693352,0.5474304347968015,-0.7615882006190873,0.029290981626075553,0.17752261675769437,0.0072521701740988,0.0
0.079388,0.20697820888670138,0.5497448064684114,-0.7597823692057638,0.029543412699681994,0.17641289486598105,0.006642205459370165,0.0
0.08941,0.20812261806638888,0.5501262761949739,-0.7597823692057638,0.029159081950170276,0.17641289486598105,0.005874497634663134,0.0
0.09929,0.2129326480970825,0.5531697046591124,-0.7579766495839143,0.0290196310889367,0.17449634933392266,0.003721768099418994,0.0
0.109164,0.216365875636145,0.5539326441122374,-0.7579766495839143,0.0290196310889367,0.17449634933392266,0.0010362212244189942,0.0
0.119108,0.2215952375747755,0.5577051241024761,-0.7557901699799698,0.028872677715968537,0.17330728857193178,-0.001124649633429467,0.0
0.129021,0.2246469953872755,0.5596124727352886,-0.7550272305268448,0.028489300640773225,0.1736906656471271,-0.0015080267086247795,0.0
0.139047,0.22953324634729266,0.5629696066214886,-0.7516976471089066,0.027568137773130406,0.17284650458780937,-0.0013756629155632152,0.0
0.148933,0.23220353443323016,0.5633510763480511,-0.7494088287495316,0.026800429948423375,0.17246312751261406,-0.0009922858403679027,0.0
0.158859,0.23598327571794603,0.565529952426665,-0.7449357809037669,0.02510414973406154,0.1708145186236393,-0.0016344995348501201,0.0
0.168778,0.23827209407732103,0.565529952426665,-0.7415025533647044,0.024720772658866227,0.16889572589902993,-0.0016344995348501201,0.0
0.178664,0.24132633427052896,0.5676750232145956,-0.736270008446177,0.02455158953295853,0.16375789748881725,-0.0015176260217253101,0.0
0.188684,0.24285221317677896,0.5676750232145956,-0.7320738414539895,0.024168212457763218,0.15877113448832897,-0.0015176260217253101,0.0
0.198794,0.24632489864176274,0.5697863470285853,-0.7260814330765475,0.02399170804901814,0.15129498427762111,-0.0017916419044818888,0.0
0.208562,0.24861371700113774,0.5697863470285853,-0.72188526608436,0.02399170804901814,0.1451571363772305,-0.0017916419044818888,0.0
0.218506,0.25288585318927026,0.571863996561759,-0.7158965177949722,0.02380792508186471,0.13726221473541902,-0.002073017284196635,0.0
0.228394,0.25403026236895776,0.571863996561759,-0.7136076994355972,0.023424548006669398,0.13342558296051668,-0.002073017284196635,0.0
0.238392,0.2602457929304004,0.5739080582860745,-0.7057158433065166,0.023616905550184055,0.12357817656056472,-0.002744978233802514,0.0
0.248293,0.2629160810163379,0.5739080582860745,-0.7015196763143291,0.023616905550184055,0.12165938383595534,-0.0023616011586072017,0.0
0.258233,0.26725984209597486,0.5759186318609528,-0.6963029261939855,0.023035313787408324,0.11945038112386247,-0.0026572443671257426,0.0
0.268123,0.26954866045534986,0.5759186318609528,-0.692869698654923,0.023418690862603637,0.11868267329915544,-0.0026572443671257426,0.0
0.278027,0.2731645937680264,0.5775143598220561,-0.6876583398326059,0.022829944908902434,0.11682387175057649,-0.0029597996082734238,0.0
0.288056,0.2746904726742764,0.5775143598220561,-0.6846065820201059,0.022829944908902434,0.11605711760018586,-0.0029597996082734238,0.0
0.2979,0.2771966403284105,0.5794583059100828,-0.6797826536713275,0.02261746249855792,0.11148031419434132,-0.0032691214544509836,0.0
0.307792,0.277578110054973,0.5794583059100828,-0.6767308958588275,0.02261746249855792,0.10649355119385304,-0.0032691214544509836,0.0
0.317843,0.2797369828045432,0.5813691361415861,-0.671913493614815,0.022397907043383194,0.09689824129952734,-0.0035850663641530667,0.0
0.327675,0.2797369828045432,0.5813691361415861,-0.6692422518545611,0.022397907043383194,0.0873080923737461,-0.0035850663641530667,0.0
0.337623,0.2819295613000721,0.5832469971534668,-0.6674836946362113,0.02217131898805496,0.08573742792577146,-0.003907492691731795,0.0
0.347597,0.2819295613000721,0.5832469971534668,-0.6663392854565238,0.02217131898805496,0.08074971125096678,-0.003907492691731795,0.0
0.357502,0.2841553762373522,0.5847105761965137,-0.6584848565334774,0.021553408111000164,0.07224409565810067,-0.004236260694812408,0.0
0.367499,0.2841553762373522,0.5847105761965137,-0.6561960381741024,0.021553408111000164,0.0730118034828077,-0.004236260694812408,0.0
0.377332,0.2864139582245241,0.5861415097704948,-0.652164502597089,0.021312876643809427,0.07214787778311388,-0.004571232539461706,0.0
0.387349,0.2864139582245241,0.5857600400439323,-0.649875684237714,0.02016274541822349,0.07368233975821153,-0.0041878554642663934,0.0
0.397241,0.28870483791467627,0.5875399739089084,-0.6458528922142148,0.017996510941049072,0.07240604379832288,-0.004912272303206927,0.0
0.407153,0.28870483791467627,0.5875399739089084,-0.6431826041282773,0.015311917740365479,0.07202266672312757,-0.004912272303206927,0.0
0.417089,0.2906460764042542,0.5892876231058359,-0.6387876285834284,0.013139768140853367,0.06995128685994281,-0.005259245976000533,0.0
0.426971,0.2898831369511292,0.5892876231058359,-0.6364988102240534,0.01160530616575571,0.06918357903523578,-0.005259245976000533,0.0
0.43704,0.2914742653506839,0.5910031806194942,-0.6317321888590323,0.010576461026710234,0.0663177689928929,-0.0056120214592236956,0.0
0.446948,0.2899483864444339,0.5910031806194942,-0.6290619007730948,0.009809706876319609,0.06555006116818587,-0.0056120214592236956,0.0
0.456799,0.2904259968094835,0.5926868471448645,-0.6246871056676174,0.009157454725669683,0.06342397325689347,-0.005970468562818798,0.0
0.466827,0.288518648176671,0.5926868471448645,-0.6220168175816799,0.009157454725669683,0.06188951128179582,-0.005970468562818798,0.0
0.476626,0.28940815142394216,0.5943388305899375,-0.6176529064419346,0.008882792662394112,0.05705147877398409,-0.006334459000638511,0.0
0.486651,0.28788227251769216,0.5943388305899375,-0.6146011486294346,0.008882792662394112,0.05129605427447237,-0.005951081925443198,0.0
0.496554,0.2888017315301239,0.595959345588523,-0.610248643579654,0.008218057127932981,0.04221319346810934,-0.006320489308901372,0.0
0.506499,0.2876573223504364,0.595959345588523,-0.607196885767154,0.008601434203128294,0.03530859141732809,-0.006320489308901372,0.0
