t_sec,joint1_pos,joint1_vel,joint2_pos,joint2_vel,joint3_pos,joint3_vel,joint4_pos,joint4_vel,joint5_pos,joint5_vel,joint6_pos,joint6_vel,joint7_pos,joint7_vel
0.0,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.23900674374572106,0.3460601836982999,0.03663444519042969,0.0,-0.0,0.0
0.020332,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.2461248774437101,0.3541692540024518,0.03663444519042969,0.0,-0.0,0.0
0.040871,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.2534804515385189,0.3622675910566377,0.03663444519042969,0.0,-0.0,0.0
0.061216,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.26093046625739663,0.3701975255829361,0.03663444519042969,0.0,-0.0,0.0
0.081726,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.2686069944007078,0.37809996192380607,0.03663444519042969,0.0,-0.0,0.0
0.102135,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.2764035273255593,0.38586394221627784,0.03663444519042969,0.0,-0.0,0.0
0.12274,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.2844284543533351,0.3935960110033007,0.03663444519042969,0.0,-0.0,0.0
0.143079,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.29251617044634526,0.4011376681857701,0.03663444519042969,0.0,-0.0,0.0
0.163658,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.300848697008684,0.4086588578568191,0.03663444519042969,0.0,-0.0,0.0
0.183996,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.30923343546743454,0.41598605223043317,0.03663444519042969,0.0,-0.0,0.0
0.204666,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.3179046516420016,0.42332250751960004,0.03663444519042969,0.0,-0.0,0.0
0.225063,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.3266143275135043,0.4304572288454555,0.03663444519042969,0.0,-0.0,0.0
0.245684,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.33556075935512863,0.43755348760279716,0.03663444519042969,0.0,-0.0,0.0
0.266062,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.34455298899340703,0.44446002268546286,0.03663444519042969,0.0,-0.0,0.0
0.286622,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.35375976753627053,0.4513073855192957,0.03663444519042969,0.0,-0.0,0.0
0.30696,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.36301240200175383,0.457970734242473,0.03663444519042969,0.0,-0.0,0.0
0.327486,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.37247975388619475,0.46457217839522996,0.03663444519042969,0.0,-0.0,0.0
0.347831,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.38199735690496905,0.4709971234761281,0.03663444519042969,0.0,-0.0,0.0
0.368341,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.39172389417245135,0.47735287352596734,0.03663444519042969,0.0,-0.0,0.0
0.388666,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.4014878788461155,0.4835277215874839,0.03663444519042969,0.0,-0.0,0.0
0.409417,-0.06275272369384766,0.0,0.3091859817504883,0.0,-0.6807432174682617,0.0,0.05274677276611328,0.0,0.4115803972819677,0.48970232958782806,0.03663444519042969,0.0,-0.0,0.0
