t_sec,mount_tx_pos,mount_ty_pos,mount_tz_pos,mount_rx_pos,mount_ry_pos,mount_rz_pos
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001861,0.0,0.0,0.0,0.0,0.0,0.0
0.003674,0.0,0.0,0.0,0.0,0.0,0.0
0.005524,0.0,0.0,0.0,0.0,0.0,0.0
0.007383,0.0,0.0,0.0,0.0,0.0,0.0
0.009167,0.0,0.0,0.0,0.0,0.0,0.0
0.011004,0.0,0.0,0.0,0.0,0.0,0.0
0.012741,0.0,0.0,0.0,0.0,0.0,0.0
0.014673,0.0,0.0,0.0,0.0,0.0,0.0
0.016551,0.0,0.0,0.0,0.0,0.0,0.0
0.018347,0.0,0.0,0.0,0.0,0.0,0.0
0.020261,0.0,0.0,0.0,0.0,0.0,0.0
0.022003,0.0,0.0,0.0,0.0,0.0,0.0
0.023841,0.0,0.0,0.0,0.0,0.0,0.0
0.025677,0.0,0.0,0.0,0.0,0.0,0.0
0.027594,0.0,0.0,0.0,0.0,0.0,0.0
0.029331,0.0,0.0,0.0,0.0,0.0,0.0
0.03124,0.0,0.0,0.0,0.0,0.0,0.0
0.033018,0.0,0.0,0.0,0.0,0.0,0.0
0.034852,0.0,0.0,0.0,0.0,0.0,0.0
0.036681,0.0,0.0,0.0,0.0,0.0,0.0
0.03854,0.0,0.0,0.0,0.0,0.0,0.0
0.040393,0.0,0.0,0.0,0.0,0.0,0.0
0.042013,0.0,0.0,0.0,0.0,0.0,0.0
0.044018,0.0,0.0,0.0,0.0,0.0,0.0
0.045811,0.0,0.0,0.0,0.0,0.0,0.0
0.0477,0.0,0.0,0.0,0.0,0.0,0.0
0.049504,0.0,0.0,0.0,0.0,0.0,0.0
0.051343,0.0,0.0,0.0,0.0,0.0,0.0
0.053101,0.0,0.0,0.0,0.0,0.0,0.0
0.055024,0.0,0.0,0.0,0.0,0.0,0.0
0.056814,0.0,0.0,0.0,0.0,0.0,0.0
0.058703,0.0,0.0,0.0,0.0,0.0,0.0
0.060479,0.0,0.0,0.0,0.0,0.0,0.0
0.062237,0.0,0.0,0.0,0.0,0.0,0.0
0.064189,0.0,0.0,0.0,0.0,0.0,0.0
0.066007,0.0,0.0,0.0,0.0,0.0,0.0
0.067815,0.0,0.0,0.0,0.0,0.0,0.0
0.069675,0.0,0.0,0.0,0.0,0.0,0.0
0.071517,0.0,0.0,0.0,0.0,0.0,0.0
0.073333,0.0,0.0,0.0,0.0,0.0,0.0
0.075188,0.0,0.0,0.0,0.0,0.0,0.0
0.07701,0.0,0.0,0.0,0.0,0.0,0.0
0.078846,0.0,0.0,0.0,0.0,0.0,0.0
0.08067,0.0,0.0,0.0,0.0,0.0,0.0
0.082409,0.0,0.0,0.0,0.0,0.0,0.0
0.084349,0.0,0.0,0.0,0.0,0.0,0.0
0.086175,0.0,0.0,0.0,0.0,0.0,0.0
0.087968,0.0,0.0,0.0,0.0,0.0,0.0
0.089848,0.0,0.0,0.0,0.0,0.0,0.0
0.091667,0.0,0.0,0.0,0.0,0.0,0.0
0.093504,0.0,0.0,0.0,0.0,0.0,0.0
0.095398,0.0,0.0,0.0,0.0,0.0,0.0
0.097169,0.0,0.0,0.0,0.0,0.0,0.0
0.098981,0.0,0.0,0.0,0.0,0.0,0.0
0.100849,0.0,0.0,0.0,0.0,0.0,0.0
0.102613,0.0,0.0,0.0,0.0,0.0,0.0
0.104516,0.0,0.0,0.0,0.0,0.0,0.0
0.106332,0.0,0.0,0.0,0.0,0.0,0.0
0.108183,0.0,0.0,0.0,0.0,0.0,0.0
0.109949,0.0,0.0,0.0,0.0,0.0,0.0
0.111849,0.0,0.0,0.0,0.0,0.0,0.0
0.113667,0.0,0.0,0.0,0.0,0.0,0.0
0.115505,0.0,0.0,0.0,0.0,0.0,0.0
0.117317,0.0,0.0,0.0,0.0,0.0,0.0
0.11919,0.0,0.0,0.0,0.0,0.0,0.0
0.121013,0.0,0.0,0.0,0.0,0.0,0.0
0.122789,0.0,0.0,0.0,0.0,0.0,0.0
0.124672,0.0,0.0,0.0,0.0,0.0,0.0
0.1265,0.0,0.0,0.0,0.0,0.0,0.0
0.128319,0.0,0.0,0.0,0.0,0.0,0.0
0.130166,0.0,0.0,0.0,0.0,0.0,0.0
0.131963,0.0,0.0,0.0,0.0,0.0,0.0
0.13383,0.0,0.0,0.0,0.0,0.0,0.0
0.136536,0.0,0.0,0.0,0.0,0.0,0.0
0.137561,0.0,0.0,0.0,0.0,0.0,0.0
0.139293,0.0,0.0,0.0,0.0,0.0,0.0
0.141195,0.0,0.0,0.0,0.0,0.0,0.0
0.142944,0.0,0.0,0.0,0.0,0.0,0.0
0.144804,0.0,0.0,0.0,0.0,0.0,0.0
0.146629,0.0,0.0,0.0,0.0,0.0,0.0
0.148564,0.0,0.0,0.0,0.0,0.0,0.0
0.150258,0.0,0.0,0.0,0.0,0.0,0.0
0.152108,0.0,0.0,0.0,0.0,0.0,0.0
0.154044,0.0,0.0,0.0,0.0,0.0,0.0
0.155937,0.0,0.0,0.0,0.0,0.0,0.0
0.157664,0.0,0.0,0.0,0.0,0.0,0.0
0.159571,0.0,0.0,0.0,0.0,0.0,0.0
0.161309,0.0,0.0,0.0,0.0,0.0,0.0
0.163144,0.0,0.0,0.0,0.0,0.0,0.0
0.165137,0.0,0.0,0.0,0.0,0.0,0.0
0.166841,0.0,0.0,0.0,0.0,0.0,0.0
0.168662,0.0,0.0,0.0,0.0,0.0,0.0
0.170505,0.0,0.0,0.0,0.0,0.0,0.0
0.172295,0.0,0.0,0.0,0.0,0.0,0.0
0.174199,0.0,0.0,0.0,0.0,0.0,0.0
0.176005,0.0,0.0,0.0,0.0,0.0,0.0
0.177851,0.0,0.0,0.0,0.0,0.0,0.0
0.179723,0.0,0.0,0.0,0.0,0.0,0.0
0.181508,0.0,0.0,0.0,0.0,0.0,0.0
0.183412,0.0,0.0,0.0,0.0,0.0,0.0
0.185177,0.0,0.0,0.0,0.0,0.0,0.0
0.186992,0.0,0.0,0.0,0.0,0.0,0.0
0.188895,0.0,0.0,0.0,0.0,0.0,0.0
0.19069,0.0,0.0,0.0,0.0,0.0,0.0
0.19243,0.0,0.0,0.0,0.0,0.0,0.0
0.194315,0.0,0.0,0.0,0.0,0.0,0.0
0.196185,0.0,0.0,0.0,0.0,0.0,0.0
0.198075,0.0,0.0,0.0,0.0,0.0,0.0
0.199905,0.0,0.0,0.0,0.0,0.0,0.0
0.20173,0.0,0.0,0.0,0.0,0.0,0.0
0.20351,0.0,0.0,0.0,0.0,0.0,0.0
0.20541,0.0,0.0,0.0,0.0,0.0,0.0
0.207185,0.0,0.0,0.0,0.0,0.0,0.0
0.209005,0.0,0.0,0.0,0.0,0.0,0.0
0.210939,0.0,0.0,0.0,0.0,0.0,0.0
0.21273,0.0,0.0,0.0,0.0,0.0,0.0
0.21449,0.0,0.0,0.0,0.0,0.0,0.0
0.216364,0.0,0.0,0.0,0.0,0.0,0.0
0.218153,0.0,0.0,0.0,0.0,0.0,0.0
0.220018,0.0,0.0,0.0,0.0,0.0,0.0
0.22183,0.0,0.0,0.0,0.0,0.0,0.0
0.223671,0.0,0.0,0.0,0.0,0.0,0.0
0.225526,0.0,0.0,0.0,0.0,0.0,0.0
0.227299,0.0,0.0,0.0,0.0,0.0,0.0
0.229169,0.0,0.0,0.0,0.0,0.0,0.0
0.231027,0.0,0.0,0.0,0.0,0.0,0.0
0.232789,0.0,0.0,0.0,0.0,0.0,0.0
0.234691,0.0,0.0,0.0,0.0,0.0,0.0
0.236499,0.0,0.0,0.0,0.0,0.0,0.0
0.238354,0.0,0.0,0.0,0.0,0.0,0.0
0.240156,0.0,0.0,0.0,0.0,0.0,0.0
0.241937,0.0,0.0,0.0,0.0,0.0,0.0
0.243826,0.0,0.0,0.0,0.0,0.0,0.0
0.245669,0.0,0.0,0.0,0.0,0.0,0.0
0.247505,0.0,0.0,0.0,0.0,0.0,0.0
0.249338,0.0,0.0,0.0,0.0,0.0,0.0
0.251179,0.0,0.0,0.0,0.0,0.0,0.0
0.252976,0.0,0.0,0.0,0.0,0.0,0.0
0.254842,0.0,0.0,0.0,0.0,0.0,0.0
0.256762,0.0,0.0,0.0,0.0,0.0,0.0
0.25852,0.0,0.0,0.0,0.0,0.0,0.0
0.260335,0.0,0.0,0.0,0.0,0.0,0.0
0.262074,0.0,0.0,0.0,0.0,0.0,0.0
0.263982,0.0,0.0,0.0,0.0,0.0,0.0
