t_sec,master_slave_pos_err_m,master_slave_orient_err_rad
0.031758,0.00135768333694263,0.0016516893469164947
0.033248,0.0013301173261775691,0.001976866567850999
0.0345,0.001325267291765296,0.0022705673160084445
0.035744,0.0013214078146137338,0.002609418542778722
0.037242,0.0013319075782258624,0.002951016972210709
0.038882,0.0013550260324080242,0.0032880870056443677
0.040193,0.00138855551752348,0.0036287837357230693
0.041425,0.0014343258122936284,0.003970613218159569
0.042682,0.0014517231832005743,0.003988846259238596
0.044003,0.0015124784197737295,0.0043251555288268875
0.045308,0.001582363428108888,0.004661981895101247
0.04648,0.0015664248852510726,0.004649587509224934
0.047643,0.0015664248852510726,0.004649587509224934
0.048813,0.0015664248852510726,0.004649587509224934
0.05011,0.001626112157588885,0.004980043869122894
0.051225,0.001626112157588885,0.004980043869122894
0.053481,0.0015782102124704594,0.004655252736006664
0.054591,0.0015782102124704594,0.004655252736006664
0.056728,0.0015630477137427345,0.004643384849256071
0.05866,0.0015630477137427345,0.004643384849256071
0.060557,0.0015930417323205234,0.004691518145755054
0.061716,0.0015930417323205234,0.004691518145755054
0.064166,0.001573191879654398,0.004645428210101605
0.066642,0.001573191879654398,0.004645428210101605
0.067847,0.0015592756877383187,0.004638171494665114
0.069021,0.0015592756877383187,0.004638171494665114
0.071658,0.0015878991476262687,0.004681221977579017
0.07303,0.0015878991476262687,0.004681221977579017
0.074891,0.0015688499624679686,0.0046356306273861135
0.07674,0.0015688499624679686,0.0046356306273861135
0.078537,0.0015556156950763662,0.0046287939853045315
0.08058,0.0016268128301911563,0.004958500293512171
0.082535,0.0015787800914323078,0.004635482610328678
0.083652,0.0015787800914323078,0.004635482610328678
0.085923,0.0015637898714297215,0.004623323928047965
0.087817,0.0015637898714297215,0.004623323928047965
0.089583,0.0015238032572518498,0.004342174439041651
0.09165,0.0015916456829863758,0.004667679293225976
0.092912,0.0015721756217322881,0.00462222010321981
0.094803,0.0015721756217322881,0.00462222010321981
0.096758,0.0015585544984058446,0.004614778370692262
0.098534,0.0015585544984058446,0.004614778370692262
0.100264,0.0015860292344083249,0.00465852681028407
0.101981,0.0015860292344083249,0.00465852681028407
0.104338,0.0015674195348961133,0.004613632742948375
0.10586,0.0015674195348961133,0.004613632742948375
