t_sec,joint1_err,joint2_err,joint3_err,joint4_err,joint5_err,joint6_err,joint7_err
0.0,-0.46157115703820073,0.07634112631901907,-0.591842092680793,0.021807218778607418,0.12191958482576917,-0.008344043500410847,0.0
0.009324,-0.4601591064918099,0.07693929614775114,-0.5911092773196502,0.02200574616544534,0.12086880183958411,-0.010863364499179764,0.0
0.018729,-0.45874129765262006,0.0775305320136449,-0.5903811045972126,0.02143414304189795,0.1194302671715002,-0.012615910850635566,0.0
0.028138,-0.45731778665448103,0.07811486709753779,-0.5896576276476492,0.02086203292776855,0.11837079484125052,-0.012451539042522684,0.0
0.037586,-0.4558886295428002,0.07869233457923663,-0.5889388991955985,0.02028847060747507,0.11654031296466873,-0.012287122264746684,0.0
0.047523,-0.4544538822736988,0.07926296762868462,-0.5882249715532308,0.01971346465283288,0.11547238865964818,-0.01289226360442237,0.0
0.056885,-0.4530136007132513,0.07982679939717219,-0.5863714874377446,0.019136070075174073,0.11401599532277598,-0.01272962807635962,0.0
0.066278,-0.451567840636802,0.08038386300860223,-0.5841414377811607,0.018941580098503212,0.11217309808230286,-0.012952196040257082,0.0
0.075653,-0.45011665772835563,0.08093419155081766,-0.5815348736417828,0.018745672888651387,0.11070955468086385,-0.01317562495528789,0.0
0.084995,-0.45011665772835563,0.08093419155081766,-0.5784831158292828,0.018362295813456074,0.11032522393135213,-0.01317562495528789,0.0
0.094373,-0.44866010758003716,0.08147781806699872,-0.5747371483891894,0.017398226251124662,0.10885771405113054,-0.013399903126863098,0.0
0.103821,-0.44719824569161837,0.08163330582057399,-0.5702332975846267,0.016431803959757154,0.10738629394425551,-0.013625018956315474,0.0
0.113182,-0.445731127470106,0.08216362719302556,-0.565353082923982,0.015464945552107003,0.10552668861208302,-0.013850960940086227,0.0
0.122586,-0.44425880822939107,0.08268734531615624,-0.5604770698112043,0.014495753060834306,0.10328086065689292,-0.014077717668903322,0.0
0.131927,-0.44278134318995394,0.08282302324350999,-0.5556072145143137,0.013142766258210252,0.10064695749057034,-0.014305277826951852,0.0
0.141335,-0.4412987874786247,0.08257069366876224,-0.5503611421173752,0.012170841562683946,0.09762598705896047,-0.014533630191036841,0.0
0.150699,-0.43981119612839553,0.0811674497379577,-0.5455018401219459,0.011965273132898396,0.09460042654966815,-0.014762763629738874,0.0
0.160081,-0.43831862407828237,0.07937626340091142,-0.5402664166848111,0.011758362997300816,0.0908054824670894,-0.014992667102562893,0.0
0.169491,-0.43682112617323543,0.07872304595021273,-0.5350363887019631,0.011166744052355869,0.08623930029244653,-0.014839952583885218,0.0
0.178827,-0.4353187571640956,0.07844489020095846,-0.5301932726270056,0.011340557613932871,0.08166868653400061,-0.01507136336287097,0.0
0.188221,-0.43381157170759455,0.07854182829559275,-0.524974175289604,0.010746305590227016,0.07709560043062343,-0.015303511591432537,0.0
0.197584,-0.4322996243663983,0.07786948306354174,-0.5197606122530429,0.010150752459320834,0.07251913973499662,-0.015536386584135618,0.0
0.207571,-0.43078296960919193,0.0764278863731444,-0.5153155683593238,0.009169577918085748,0.06793935541530374,-0.01615335481731876,0.0
0.217231,-0.4288801920842415,0.07536147912431729,-0.5104946793680524,0.00895483110574478,0.06297196723586294,-0.016004274552231367,0.0
0.226413,-0.4273542855258067,0.07428882315539209,-0.5064423989469249,0.00873881488110095,0.05761797893496037,-0.01623926658609666,0.0
0.23583,-0.4258238343949662,0.07244701041568807,-0.5023958316778749,0.008521540046010209,0.05494636408142617,-0.016474943499263914,0.0
0.245216,-0.42428889278610415,0.07021754186475748,-0.49873649086794003,0.008303017520470616,0.05265500205331079,-0.016711295030286177,0.0
0.254565,-0.42428889278610415,0.06754725377881998,-0.49530326332887753,0.007151932620568272,0.05188824790292017,-0.016711295030286177,0.0
