t_sec,world_pos_err_m,world_orient_err_rad,base_pos_err_m,base_orient_err_rad,mount_x,mount_y,mount_z,joint4_pos,int_0,int_1,int_2,int_3,int_4,int_5
0.257045,0.0005081424699236097,0.0003762143214286717,0.0005081424699236017,0.0003762143214287146,0.03456278795361846,-0.039119515439986596,0.03664527057559488,0.43482186944295953,-0.0005660253729944551,-0.0015278213429265064,0.0002729071299008583,-0.003076807351563432,-0.005563043392836413,0.0015717653707209955
0.259084,0.0005071084447945919,0.0003614797736868728,0.0005071084447945943,0.0003614797736868789,0.03459385850947663,-0.03915468231053112,0.03667821319954885,0.4348149118955602,-0.0005661829834544464,-0.001528871979784959,0.00027289521545114585,-0.0030770908012727615,-0.005563621061028697,0.0015714786764838154
0.261193,0.0005067645091931601,0.0003490770579824301,0.0005067645091931686,0.0003490770579823782,0.03462484204527623,-0.03918975068836929,0.036711063560297776,0.43480784508829845,-0.0005663036964820816,-0.0015299241232514845,0.0002728631660750507,-0.0030773122332357315,-0.005564205294239922,0.0015711663977031427
0.262212,0.0005069484647040856,0.00033962373727623615,0.0005069484647040901,0.0003396237372762241,0.0346557383212926,-0.03922472030217135,0.03674382140367307,0.4348084847704012,-0.0005663899630492252,-0.001530977482918915,0.00027281125074197214,-0.003077474368302609,-0.00556480265923102,0.001570830612883819
0.263753,0.0005075543078385994,0.0003330017416607106,0.0005075543078386023,0.0003330017416607415,0.03468654709780106,-0.03925959088060752,0.03677648647550612,0.4348174020057213,-0.0005664436778750152,-0.0015320315689144504,0.00027274023822580865,-0.0030775799395734845,-0.005565413028555007,0.0015704725301658447
0.265196,0.0004939354749667101,0.00035875974043281966,0.0004939354749667013,0.0003587597404327916,0.03471726813507692,-0.03929436215234804,0.0368090585216283,0.4355169744814648,-0.0005667117752758769,-0.0015330688821173274,0.00027271087065752476,-0.003077945000185893,-0.005566581893754598,0.001570309837179386
0.2672,0.000491914949557823,0.0003489745085365195,0.0004919149495578295,0.0003489745085364939,0.03474790119339549,-0.039329033846063136,0.036841537287871026,0.43557877488363184,-0.0005668992084380847,-0.0015340879022141011,0.0002727072286375042,-0.003078256107968729,-0.0055671660515971754,0.0015700475660443917
0.269406,0.00049101610678187,0.00033471090670575534,0.0004910161067818678,0.0003347109067057625,0.034778446033032116,-0.03936360569042304,0.03687392252006567,0.4355724034073026,-0.000567044230210257,-0.0015351065542192333,0.0002726880766123194,-0.003078504922143954,-0.005567693783115393,0.0015697512262986579
0.270864,0.0004908031901986789,0.00032287159847651977,0.0004908031901986892,0.0003228715984764852,0.034808902414262106,-0.03939807741409798,0.03690621396404363,0.43556577497971743,-0.0005671531750720355,-0.001536126475196199,0.0002726492495714856,-0.0030786930356143847,-0.005568227506288049,0.0015694297087229117
0.272475,0.00048229625484874275,0.00036599358886145895,0.00048229625484870486,0.0003659935888614814,0.03483927009736078,-0.03943244874575818,0.036938411365636296,0.4362396298403518,-0.0005674712122715315,-0.0015371304253514208,0.00027264981504751914,-0.0030791326499971057,-0.005569313236684552,0.0015692996262031819
0.274711,0.00047982401005038945,0.00035344917767947864,0.00047982401005040507,0.0003534491776794654,0.034869548842603466,-0.03946671941407389,0.036970514470675064,0.43628526093731423,-0.0005677060130057911,-0.0015381171069684726,0.0002726746844615356,-0.0030795142419331317,-0.005569822849956716,0.0015690691293485186
0.276128,0.0004779878686120253,0.0003345938195984483,0.00047798786861203953,0.00033459381959846234,0.034899738410265474,-0.03950088914771532,0.03700252302499132,0.4362643370310209,-0.0005678960227090784,-0.0015391041034971988,0.0002726829455328089,-0.0030798299482004705,-0.005570278183499422,0.0015688031098647676
0.278176,0.0004769264107368103,0.0003180995849632361,0.00047692641073680315,0.00031809958496320864,0.03492983856062213,-0.03953495767535272,0.03703443677441645,0.4362438018212425,-0.0005680477083433865,-0.001540092970443563,0.00027267050769622754,-0.003080081563747,-0.0055707408324950315,0.0015685104470825589
0.279903,0.00047651752731790004,0.00030490051666169854,0.0004765175273178873,0.0003049005166616542,0.03495984905394875,-0.03956892472565629,0.03706625546478185,0.4362312919294748,-0.0005681636013523169,-0.0015410833796942285,0.00027263766455356295,-0.0030802719121570334,-0.005571217203979492,0.0015681932542033535
0.281577,0.00047664667284743565,0.00029500329055135143,0.00047664667284745495,0.000295003290551355,0.03498976965052066,-0.03960279002729629,0.03709797884191891,0.4362273454026479,-0.0005682456673372012,-0.0015420748116318128,0.00027258520555342454,-0.003080403817660198,-0.005571707121941736,0.0015678527854071623
0.284396,0.0004659488353988409,0.0003352949442043998,0.0004659488353988297,0.0003352949442043931,0.03501960011061318,-0.03963655330894293,0.03712960665165903,0.43690949651916394,-0.0005685413282375624,-0.001543049478810903,0.0002725729325339013,-0.003080792384280902,-0.0055727539450997595,0.0015677072943918807
0.285226,0.00046358455542721975,0.00032370408852749015,0.00046358455542721123,0.00032370408852751964,0.03504934019450164,-0.03967021429926647,0.03716113863983359,0.43695851781600703,-0.0005687541633375081,-0.0015440063453874696,0.00027258628323973127,-0.003081124894968813,-0.005573218332502007,0.0015674615194608667
0.287251,0.0004620290820917823,0.00030589874323037853,0.0004620290820917356,0.00030589874323040276,0.03507898966246135,-0.0397037727269371,0.03719257455227398,0.4369401326887791,-0.0005689234201223255,-0.001544963092750544,0.0002725837278511274,-0.0030813934923611423,-0.00557362696030978,0.0015671808234648586
0.289062,0.0004612322452404487,0.0002905583517577651,0.00046123224524043305,0.0002905583517576946,0.03510854827476763,-0.03973722832062509,0.03722391413481161,0.4369217820662805,-0.0005690555990796381,-0.0015459213096476055,0.0002725610806981103,-0.003081599889460388,-0.005574042028771957,0.001566874115863866
0.291214,0.0004610531026022685,0.00027862331461670707,0.00046105310260228496,0.000278623314616653,0.0351380157916958,-0.03977058080900064,0.037255157133277844,0.4369111732211434,-0.0005691531764751878,-0.0015468806920657379,0.0002725186036883283,-0.003081746821258318,-0.005574470040984422,0.001566543488167302
0.293244,0.0004613780929474895,0.00027009501613240057,0.0004613780929475068,0.000270095016132371,0.03516739197352119,-0.039803829920733995,0.037286303293504096,0.43690886319762373,-0.0005692180553414033,-0.0015478407420783666,0.00027245706291800505,-0.003081837026289562,-0.005574910854974604,0.001566190167794098
0.295604,0.0004492612000187631,0.00030821381172971627,0.00044926120001877076,0.00030821381172970233,0.03519667658051912,-0.039836975384495384,0.03731735236132174,0.4375861041172464,-0.0005694964280520765,-0.00154878365480279,0.000272435426177516,-0.0030821832461568333,-0.005575903730483337,0.0015660314200598735
0.296567,0.00044696281378511234,0.0002972183763937713,0.0004469628137851202,0.0002972183763937616,0.035225869372964895,-0.03987001692895503,0.03734830408256218,0.43763582600326617,-0.0005696927514821466,-0.001549708689089093,0.00027243985996717687,-0.003082474769215595,-0.005576317716595741,0.0015657735237558212
0.298776,0.00044560232955839324,0.0002801369279529748,0.00044560232955840175,0.0002801369279529875,0.03525497011113385,-0.039902954282783176,0.037379158203056796,0.43761859849991563,-0.0005698464961201787,-0.0015506333195259674,0.0002724289028067108,-0.0030827039408357596,-0.005576675754646429,0.0015654813000293571
0.300258,0.0004449939606903607,0.00026565215427144936,0.0004449939606903868,0.00026565215427146025,0.035283978555301306,-0.03993578717465005,0.03740991446863699,0.437601254057484,-0.0005699641405137123,-0.0015515591254183518,0.0002723983589846311,-0.0030828724315073797,-0.005577039616774034,0.0015651635728913054
0.30275,0.0004449825920342514,0.000254717458283056,0.00044498259203425085,0.0002547174582830461,0.03531289446574258,-0.039968515333225874,0.03744057262513415,0.4375914359430562,-0.0005700481122799876,-0.0015524858159351213,0.0002723484716869317,-0.0030829829074535673,-0.005577415773976394,0.0015648224039360573
0.304417,0.00044545472408955803,0.00024733284982158567,0.00044545472408956074,0.00024733284982156697,0.03534171760273299,-0.040001138487180884,0.03747113241837966,0.4375897021257287,-0.0005701002651244644,-0.0015534129081000772,0.000272279987905509,-0.003083038038280848,-0.0055778040989327825,0.0015644589982061019
0.306248,0.0004324015431789722,0.00028183763849360885,0.00043240154317897886,0.0002818376384935596,0.03537044772654786,-0.04003365636518531,0.03750159359420492,0.4382408019848344,-0.0005703581591352587,-0.0015543231040583707,0.0002722493071377257,-0.0030833388487191728,-0.005578723435758389,0.001564283078935219
0.308153,0.0004302032610572405,0.00027134064823903956,0.0004302032610572435,0.00027134064823904286,0.03539908459746251,-0.040066068695909375,0.03753195589844131,0.4382891655566266,-0.0005705361840010945,-0.001555215947341993,0.00027224373695626904,-0.003083586125350733,-0.005579085354161707,0.0015640113913651167
0.30993,0.0004290839816333957,0.0002553011172730725,0.00042908398163340935,0.0002553011172730597,0.03542762797575227,-0.04009837520802333,0.03756221907692025,0.4382733126275945,-0.0005706728704752012,-0.0015561081646479717,0.00027222317240418006,-0.003083772720933935,-0.0055793932247532,0.001563706303732182
0.31191,0.00042870594597138525,0.00024206619184176338,0.00042870594597137283,0.00024206619184174164,0.03545607762169244,-0.04013057563019739,0.03759238287547309,0.43825744305892883,-0.0005707745320864391,-0.0015570012618696897,0.0002721835600579662,-0.003083900293761879,-0.005579706493889977,0.0015633763223843605
0.31332,0.00042889878546088236,0.00023255068072539466,0.00042889878546085655,0.00023255068072545822,0.03548443329555836,-0.04016266969110178,0.037622447039931235,0.4382488942032134,-0.0005708435271692768,-0.0015578949544494557,0.00027212514065152343,-0.003083971439015088,-0.005580031375265767,0.0015630234483366427
