t_sec,joint1_pos,joint1_vel,joint2_pos,joint2_vel,joint3_pos,joint3_vel,joint4_pos,joint4_vel,joint5_pos,joint5_vel,joint6_pos,joint6_vel,joint7_pos,joint7_vel
0.0,-0.2532983776506431,0.2525024284052914,0.01256269611868754,0.47082554146086725,0.26586107376933116,0.21832311305557528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020122,-0.24812417228240938,0.26487555158468407,0.0219714591382167,0.4699733752450738,0.2700956314206266,0.20509782366038926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.040021,-0.24270509831252726,0.27698727457347544,0.03135853898022286,0.4686574020484867,0.27406363729275063,0.19167012747501075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060014,-0.23704650371275168,0.2888256445633431,0.040714671730218886,0.46687892057777153,0.2777611754429711,0.17805327601442783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.080119,-0.2311539728327835,0.3003789785123681,0.05003062401475802,0.4646396859794214,0.281184596847542,0.16426070746705274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.100148,-0.22503332088918673,0.31163587467479503,0.05929720211366503,0.46194190810763885,0.2843305230028522,0.1503060334328432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.120095,-0.21869058822647372,0.32258522385317423,0.06850526103312488,0.4587882493434761,0.28719584925959907,0.13620302549030125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.140082,-0.2121320343560166,0.3332162203617952,0.07764571353068438,0.4551818219673884,0.2897777478867014,0.12196560160559247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.160035,-0.20536413177866097,0.343518372690601,0.08670953908326971,0.45112618508778624,0.29207367086193115,0.10760781239718456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.180057,-0.19839355959715116,0.35348151385903803,0.09568779278935038,0.44662534112862634,0.29408135238650196,0.09314382726958761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.200023,-0.19122719692466447,0.36309581144963543,0.10457161419647419,0.4416837318795039,0.29579881112113904,0.07858792042986777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.220085,-0.18387211609595158,0.3723517773114217,0.11335223604547107,0.436306234112139,0.29722435214142306,0.06395445680071662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.240083,-0.17633557568780245,0.38124027692357537,0.12202099292267136,0.43049815476759606,0.2983565686104742,0.04925787784401997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.260149,-0.16862501335570154,0.389752538410102,0.13056932981163002,0.42426522571896974,0.2991943431673319,0.03451268730886693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28001,-0.16074803849376224,0.39788016119661307,0.1389888105358918,0.41761359811471943,0.29973684902965436,0.019733436918105612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.300047,-0.15271242472517638,0.40561512430067614,0.14727112608447612,0.41054983630823144,0.29998355080965283,0.004934712007554501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.320006,-0.14452610223058127,0.4129497942475619,0.15540810281187364,0.4030809113795897,0.2999342050424552,-0.009868882867973062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.340079,-0.1361971499219314,0.419876932603559,0.1633917105044444,0.39521419425596355,0.2995888604263761,-0.024662738347596278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.360149,-0.12773378746959074,0.426389703119432,0.1712140703052666,0.38695744843739566,0.2989478577748576,-0.039432254682037225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.380062,-0.11914436719050465,0.43248167847697894,0.1788674624896228,0.37831882233515896,0.29801182968012774,-0.05416285614182082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.400203,-0.11043736580547434,0.43814684663201553,0.186344334083433,0.3693068412302615,0.29678169988890757,-0.06884000540175496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.420061,-0.10162137607365977,0.4433796167475356,0.19363730631712614,0.35993039886002604,0.2952586823907861,-0.08344921788751049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.440019,-0.09270509831255691,0.44817482471119624,0.20073918190760037,0.35019874864103834,0.2934442802201575,-0.09797607607015886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.460145,-0.08369733181184272,0.4525277382316688,0.20764295216106618,0.3401214945371503,0.2913402839729091,-0.11240624369451938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.480056,-0.07460696614953159,0.45643406150884264,0.21434180388978644,0.3297085815815199,0.2889487700393182,-0.12672547992732366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.500047,-0.06544297241903803,0.4598899394732598,0.22082912613586783,0.3189702860620668,0.28627209855490604,-0.1409196534111939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.520121,-0.056214394375793716,0.46289196159060164,0.22709851669547593,0.30791720538002093,0.2833129110712697,-0.15497475621058165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.540047,-0.046930339512146584,0.46543716522747747,0.23314378843704175,0.2965602475915598,0.28007412794918846,-0.16887691763591864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.560018,-0.03759997006936847,0.467523038575184,0.23895897540721162,0.2849106206428771,0.27655894547658016,-0.18261241793230787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.580054,-0.02823249399563234,0.4691475231285571,0.24453833871852063,0.27297982130929727,0.27277083271415303,-0.19616770181926077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.600022,-0.01883715585887284,0.47030901571746925,0.24987637221298592,0.2607796238493384,0.26871352807185883,-0.20952939186813174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62023,-0.009423227723516954,0.47100637008896395,0.25496780789601764,0.24832206838494442,0.2643910356195346,-0.22268430170402045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.640041,-7.909068009321765e-14,0.47123889803846897,0.2598076211352919,0.23561944901934256,0.259807621135371,-0.23561944901912735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.660033,0.009423227723359915,0.47100637008897167,0.2643910356194603,0.22268430170423797,0.2549678078961004,-0.2483220683847346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68004,0.018837155858714972,0.4703090157174848,0.26871352807178844,0.20952939186835437,0.2498763722130735,-0.2607796238491314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.699999,0.028232493995474863,0.4691475231285805,0.2727708327140872,0.19616770181948676,0.24453833871861227,-0.27297982130909465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.71999,0.03759997006921259,0.46752303857521493,0.27655894547651927,0.18261241793253544,0.23895897540730662,-0.28491062064268047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.740045,0.04693033951199035,0.4654371652275164,0.2800741279491317,0.16887691763615065,0.2331437884371413,-0.2965602475913666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.760052,0.056214394375638334,0.4628919615906482,0.2833129110712177,0.15497475621081636,0.2270985166955793,-0.3079172053798328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.780066,0.06544297241888469,0.45988993947331364,0.286272098554859,0.14091965341142945,0.22082912613597422,-0.31897028606188504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.800121,0.07460696614937838,0.4564340615089044,0.28894877003927566,0.12672547992756303,0.21434180388989715,-0.3297085815813423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.820012,0.08369733181169083,0.45252773823173814,0.29134028397287137,0.11240624369476072,0.2076429521611804,-0.3401214945369783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.840036,0.09270509831240747,0.44817482471127257,0.29344428022012486,0.09797607607040032,0.2007391819077172,-0.3501987486408731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.860122,0.10162137607351093,0.4433796167476198,0.2952586823907581,0.08344921788775508,0.193637306317247,-0.3599303988598656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.880055,0.11043736580532827,0.43814684663210646,0.29678169988888464,0.06884000540199917,0.18634433408355616,-0.36930684123010815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
