t_sec,joint1_err,joint2_err,joint3_err,joint4_err,joint5_err,joint6_err,joint7_err
0.0,-1.1608819755486763,0.3699279770252593,0.10674566411246111,-0.1702504978086178,-0.00100838861590824,-0.16419900187796793,0.0
0.009155,-1.1578493428739023,0.3674051002768147,0.10571076536394675,-0.17036989602422214,-0.005272094600472926,-0.1639822901776272,0.0
0.018315,-1.15557151577481,0.36563606955052336,0.10467374979476318,-0.17049102779183892,-0.005323123917445716,-0.16338278168254056,0.0
0.027608,-1.152522674037138,0.3627154658546831,0.10363454911183356,-0.17061388796126276,-0.0038478933074484745,-0.1627857438915251,0.0
0.03662,-1.1498472855215491,0.36016823725947456,0.1022116255968134,-0.17035414060527598,-0.0023788741939411995,-0.16218925265045087,0.0
0.04579,-1.1475454088942776,0.35723146767956304,0.10154932074298151,-0.16971368786389252,-0.0020680225544359165,-0.16121086787243877,0.0
0.054928,-1.14640099971459,0.35303530068737554,0.09964197211016901,-0.16856260296399017,-0.001684645479240604,-0.1596764058973411,0.0
0.06412,-1.1433282844438248,0.3497090140040187,0.09821433963423809,-0.16638940102011507,-0.002147548574260222,-0.15754935686544988,0.0
0.073285,-1.1394847891555786,0.3463747043225785,0.09678425192558349,-0.1630668216685349,-0.0030017016199850033,-0.15503942760857647,0.0
0.082412,-1.1363964513568545,0.34303239650362566,0.09573311196414924,-0.15859485958810174,-0.0038626930911127844,-0.1521475554731284,0.0
0.091595,-1.133300390166729,0.34006358560044764,0.09429791387108555,-0.15412459431369327,-0.00473044281897525,-0.14964143207503952,0.0
0.100775,-1.1294337246725408,0.336705357937336,0.09324153099838284,-0.14850493553343688,-0.005604871241847276,-0.1475191339758797,0.0
0.110439,-1.12594092255962,0.33410214890678197,0.09218147417223599,-0.14212020853492888,-0.006102522329425902,-0.14578255255327383,0.0
0.119865,-1.1216766794418,0.33110957596214124,0.0903566458469871,-0.1353528312042568,-0.0066066948079461785,-0.1444307182804747,0.0
0.12903,-1.1174059005479848,0.3284906055948308,0.08891043642208563,-0.13012159069550086,-0.006732980184473075,-0.143080238348196,0.0
0.138212,-1.1131276905875251,0.32624526523356034,0.08784278113027,-0.12796189702901511,-0.006866585744199849,-0.1405809659148383,0.0
0.147372,-1.108842107897914,0.3239921129562239,0.08677214581972892,-0.12618724396516795,-0.007389858353276629,-0.13654760105835165,0.0
0.156509,-1.1045492107678694,0.3217311769285127,0.08569846641051426,-0.12479762574973331,-0.007535014255159955,-0.13098012839799641,0.0
0.16567,-1.1002490574348234,0.3198439553895633,0.08462167917120633,-0.12264195166208436,-0.008070639618786596,-0.12733369471852288,0.0
0.174831,-1.0975787693488859,0.3167921975770633,0.08233286081183133,-0.12034073553659608,-0.006919554718884252,-0.12618260981862053,0.0
0.183976,-1.0928899482700007,0.3148962959712642,0.08087143263614405,-0.11857103826120956,-0.0074612440651388445,-0.1259897545996997,0.0
0.193138,-1.0889569267526464,0.31299365081117736,0.08016970967884596,-0.11603527326265574,-0.007241215438803739,-0.12503045396085993,0.0
0.202295,-1.0850168234130912,0.31146480761777345,0.07946468981974852,-0.11311776525538297,-0.007411433881171214,-0.12368902373726186,0.0
0.211481,-1.0806882265337105,0.31030979615086335,0.07799337129951611,-0.10943513105296375,-0.007203164956250174,-0.12081436423025761,0.0
0.220615,-1.0759711940609047,0.308765706994674,0.07690010135542069,-0.10652087276652936,-0.007000667070804628,-0.11602308368107468,0.0
0.230611,-1.0716287233296602,0.3072140401772761,0.07618481841172975,-0.10322485290024372,-0.006037114324066034,-0.10931516752084747,0.0
0.239741,-1.0668979327022499,0.3064177657042355,0.07508452180910785,-0.09916273435162903,-0.004695812631264201,-0.10145735544533724,0.0
0.24896,-1.0625418193788898,0.3059954446393004,0.0739806204402167,-0.09586992633236736,-0.003742491896856215,-0.09206625603846172,0.0
0.258098,-1.0581789713100291,0.3051841685446255,0.07363599329932802,-0.09449655354356287,-0.002795612408845821,-0.08536186392266257,0.0
0.267353,-1.0538094461009067,0.3043654383742784,0.0732876408522054,-0.09465923229686952,-0.003388613066497126,-0.08479551233406002,0.0
0.276367,-1.0494333012833628,0.3035392855554115,0.07217256394499583,-0.09482349391351652,-0.0036035859995534325,-0.0861490857683918,0.0
0.285558,-1.04505059431429,0.3034686811555251,0.07105364271308201,-0.09498933159751843,-0.003822886368024747,-0.0875028239355292,0.0
0.294704,-1.0423803062283525,0.3023242719758376,0.06952776380683201,-0.09460595452232312,-0.0034395092928294346,-0.08827053176023623,0.0
0.303885,-1.0387540339413368,0.30186483860458335,0.06878640904457423,-0.09515673845885242,-0.004431730931414052,-0.08809186625352834,0.0
0.313031,-1.035120360511553,0.301016608214157,0.068041092481263,-0.09532570751179599,-0.005429098924982945,-0.08829766877918944,0.0
0.322185,-1.0314812505110587,0.30016108263423136,0.06729175596327597,-0.09511285459813308,-0.006431546754288281,-0.08850454870207772,0.0
0.331352,-1.0274543376819263,0.29967976383360573,0.06653834172994677,-0.09451721886169195,-0.007439008468442643,-0.08871249257144001,0.0
0.340498,-1.023802618538543,0.29995415390857355,0.06539932268939286,-0.09469083159452726,-0.008068041606827003,-0.08853715629556841,0.0
0.350287,-1.0201446803327627,0.3002213458917617,0.06425611160055733,-0.09448260051285118,-0.008317627672187689,-0.08874718813919723,0.0
0.359646,-1.0164805799590668,0.30009990264706227,0.06310865189583292,-0.09465927228009602,-0.008188656075333894,-0.08857486715057404,0.0
0.368873,-1.0131918439535288,0.2988269174053428,0.06233835713646718,-0.09445408515454906,-0.007297686033861911,-0.0884035573844169,0.0
0.378006,-1.009515589586592,0.2975468321128107,0.06156370183511595,-0.09271594653939094,-0.005260323644143777,-0.08823324592612831,0.0
0.387128,-1.0058333432215298,0.2970226190607821,0.060403160911175924,-0.09021160278132885,-0.002460837051389414,-0.08729621214158362,0.0
0.396307,-1.0025266311338987,0.2964913716952897,0.05885667941951933,-0.08809213086870274,0.0011017894765530112,-0.08712785897524733,0.0
0.405451,-0.9992140400576099,0.2955716532393407,0.058068612005760856,-0.08712618428004021,0.003125447654662966,-0.08619275817650135,0.0
0.41462,-0.9969252216982349,0.2940457743330907,0.056161263372948356,-0.08674185353052849,0.00427653255456531,-0.08427491912620838,0.0
0.423761,-0.993988277731055,0.2927376177762653,0.05498619306217012,-0.086927516786771,0.004376952608546175,-0.08257401187117687,0.0
