t_sec,joint1_err,joint2_err,joint3_err,joint4_err,joint5_err,joint6_err,joint7_err
0.0,-0.8710617236459173,0.6404130050365731,0.12156664348866408,-0.1388742410099041,-0.6165011120163159,-0.16041173707489165,0.0
0.009694,-0.8710617236459173,0.6404130050365731,0.12156664348866408,-0.1388742410099041,-0.6165011120163159,-0.16041173707489165,0.0
0.019464,-0.8784698514256601,0.6410177865459383,0.1206563582480773,-0.13736345713543713,-0.610287240660998,-0.15911068168313197,0.0
0.029178,-0.8784698514256601,0.6410177865459383,0.1206563582480773,-0.13736345713543713,-0.610287240660998,-0.15911068168313197,0.0
0.038972,-0.8859999871513276,0.6416500353433043,0.11978814102055213,-0.13583367626650217,-0.6039498518433266,-0.1577842193681501,0.0
0.048727,-0.8859999871513276,0.6416500353433043,0.11978814102055213,-0.13545029919130686,-0.6039498518433266,-0.1577842193681501,0.0
0.058491,-0.8936479273384936,0.6423100599889335,0.1189653649435759,-0.13428590881792646,-0.5974923117879316,-0.15643306214108052,0.0
0.068259,-0.8936479273384936,0.6423100599889335,0.1189653649435759,-0.13428590881792646,-0.5974923117879316,-0.15643306214108052,0.0
0.077989,-0.9014093886650063,0.6429980980395672,0.11819136448276879,-0.13272116428216607,-0.59091818454334,-0.1550579613868374,0.0
0.08774,-0.9014093886650063,0.6429980980395672,0.11819136448276879,-0.13272116428216607,-0.59091818454334,-0.1550579613868374,0.0
0.097505,-0.9092800132664132,0.6437143118673125,0.11746943026599044,-0.131140449479856,-0.5838478543388362,-0.15365970768549464,0.0
0.10789,-0.9092800132664132,0.6437143118673125,0.11746943026599044,-0.131140449479856,-0.5838478543388362,-0.15365970768549464,0.0
0.117072,-0.9172553742023506,0.6444587848403464,0.11680280398081244,-0.12954476672609286,-0.5774354095235632,-0.15223913045710732,0.0
0.126811,-0.9172553742023506,0.6444587848403464,0.11680280398081244,-0.12954476672609286,-0.5770520324483679,-0.15223913045710732,0.0
0.136466,-0.9253309810495995,0.6452315179075316,0.11619467332323674,-0.12793511191661833,-0.5705348694909931,-0.15079709742652175,0.0
0.146282,-0.9253309810495995,0.6452315179075316,0.11619467332323674,-0.12793511191661833,-0.5705348694909931,-0.15079709742652175,0.0
0.156042,-0.9335022855762083,0.6460324266250266,0.1156481669844801,-0.12631247254053563,-0.5635339522078893,-0.14933451390582592,0.0
0.165627,-0.9335022855762083,0.6460324266250266,0.1156481669844801,-0.12631247254053563,-0.5635339522078893,-0.14933451390582592,0.0
0.17557,-0.9417646874505794,0.6468613386582795,0.11516634966199069,-0.1246778256287224,-0.5564371847084202,-0.14785232189323455,0.0
0.185157,-0.9425276269037044,0.6468613386582795,0.11516634966199069,-0.1246778256287224,-0.5564371847084202,-0.14785232189323455,0.0
0.195079,-0.9535467674788747,0.6477179917875076,0.11475221708063443,-0.12303213564964473,-0.5488658980551779,-0.146734876063569,0.0
0.204625,-0.9581253578719411,0.6477179917875076,0.11475221708063443,-0.12303213564964473,-0.5477148131552756,-0.146734876063569,0.0
0.214714,-0.9715150799302834,0.6486020324389594,0.11440869101024431,-0.12099297529156741,-0.5392895598953966,-0.1452164342003118,0.0
0.224381,-0.9764741863755959,0.6486020324389594,0.11440869101024431,-0.12099297529156741,-0.5392895598953966,-0.1452164342003118,0.0
0.234339,-0.9903224185807279,0.6495130147581115,0.1141386142664218,-0.11817790037330125,-0.5327018921919888,-0.14329804112432395,0.0
0.2439,-0.9952815250260404,0.6495130147581115,0.1141386142664218,-0.11702681547339891,-0.5334686463423794,-0.14329804112432395,0.0
0.253636,-1.0088205754176898,0.6504504002345033,0.11394474568269142,-0.11381916325280897,-0.52642160660227,-0.14174752707004276,0.0
0.263499,-1.0137796818630023,0.6504504002345033,0.11394474568269142,-0.11305145542810194,-0.5252705217023677,-0.14136414999484745,0.0
0.273106,-1.0270047733672822,0.6514135578814128,0.11382975504375892,-0.11137091129974573,-0.5154663506639787,-0.13941586636351905,0.0
0.282965,-1.0315824100860322,0.6514135578814128,0.11382975504375892,-0.11098753422455042,-0.5097128335130998,-0.13864815853881202,0.0
0.292596,-1.0452516855494642,0.6524017649670615,0.11379621797173067,-0.10814942068616094,-0.493705690619788,-0.13630323838820713,0.0
0.302396,-1.0502107919947767,0.6524017649670615,0.11379621797173067,-0.106999289460575,-0.4841155416940067,-0.13515215348830478,0.0
0.312117,-1.0643194400838625,0.6534142082877566,0.1134651410331069,-0.10377215836559985,-0.46651540569166083,-0.13241080158779236,0.0
0.321928,-1.0692795002034914,0.6530327385611941,0.1134651410331069,-0.10146998856579516,-0.4603775577912702,-0.1304929625374994,0.0
0.331605,-1.0834412296894005,0.6540685162408268,0.11360183542317204,-0.09785465664003251,-0.44694370632941627,-0.12697393704505516,0.0
0.341427,-1.0880188664081505,0.6540685162408268,0.11360183542317204,-0.09555248684022782,-0.4396538198548069,-0.12428839017005516,0.0
0.351319,-1.1008456977437884,0.6551439309714648,0.1138321675897439,-0.0907547339955166,-0.42336215556190576,-0.11996696394624357,0.0
0.36096,-1.1042789252828509,0.6551439309714648,0.1130692281366189,-0.08730243297012598,-0.4137720066361245,-0.11728046339692716,0.0
0.370651,-1.115723754584969,0.6562065917488777,0.11223595979409207,-0.08178745577229193,-0.39960124208434294,-0.11376834610053956,0.0
0.380473,-1.118012572944344,0.6558251220223152,0.11032861116127957,-0.07756840059651068,-0.3984501571844406,-0.11261726120063721,0.0
0.390116,-1.1274851161127866,0.6561790926076134,0.10883780832271983,-0.07199784069302219,-0.3901390857892824,-0.11058184744104249,0.0
0.399975,-1.1274851161127866,0.6557976228810509,0.10654898996334483,-0.06892891674282688,-0.3901390857892824,-0.11019751669153077,0.0
0.409605,-1.1274851161127866,0.6550346834279259,0.10464164133053233,-0.06777783184292453,-0.3901390857892824,-0.10943076254114015,0.0
0.419487,-1.1364730268430276,0.6557721948306882,0.10247641256925843,-0.06606816807823634,-0.38268451092919437,-0.10664652193801134,0.0
0.429101,-1.1364730268430276,0.6553907251041257,0.09942465475675843,-0.06530141392784572,-0.38230113385399905,-0.10472868288771837,0.0
0.438998,-1.1451062302392416,0.6565270069303613,0.09697425035992535,-0.06359095521552016,-0.37367390368667486,-0.10002225824752374,0.0
0.44856,-1.1451062302392416,0.6565270069303613,0.09354102282086285,-0.06320757814032485,-0.37290714953628423,-0.09465211817184015,0.0
0.458525,-1.1537634891983193,0.6576794828277176,0.09157014916778694,-0.06072883797217245,-0.36349598891324725,-0.08764006362947027,0.0
0.468072,-1.1526190800186318,0.6576794828277176,0.08851839135528694,-0.05957870674658651,-0.3619615269381496,-0.08418776260407965,0.0
0.478072,-1.1597697615317555,0.6588467227052164,0.08512119023430997,-0.05479875325360003,-0.35177265536509206,-0.0798600120142311,0.0
