t_sec,joint1_pos,joint1_vel,joint2_pos,joint2_vel,joint3_pos,joint3_vel,joint4_pos,joint4_vel,joint5_pos,joint5_vel,joint6_pos,joint6_vel,joint7_pos,joint7_vel
0.0,0.20536413177860666,0.34351837269068114,0.292073670861948,-0.1076078123970711,0.0867095390833415,-0.4511261850877522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020014,0.2121320343559643,0.33321622036187737,0.2897777478867205,-0.12196560160548073,0.07764571353075617,-0.4551818219673581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.040012,0.21869058822642345,0.32258522385325833,0.28719584925962016,-0.13620302549019128,0.06850526103319672,-0.45878824934344964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060014,0.2250333208891379,0.311635874674882,0.2843305230028757,-0.15030603343273374,0.059297202113737894,-0.46194190810761576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.080013,0.2311539728327368,0.3003789785124568,0.2811845968475674,-0.16426070746694524,0.05003062401483065,-0.46463968597940214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.100017,0.23704650371270714,0.2888256445634333,0.2777611754429984,-0.1780532760143226,0.040714671730291335,-0.46687892057775593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.120004,0.24270509831248427,0.2769872745735684,0.27406363729278027,-0.1916701274749062,0.03135853898029599,-0.46865740204847467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.139997,0.2481241722823686,0.26487555158477827,0.270095631420658,-0.20509782366028714,0.021971459138289507,-0.4699733752450654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.159976,0.25329837765060453,0.2525024284053869,0.26586107376936435,-0.21832311305547553,0.012562696118759943,-0.4708255414608625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.179991,0.25822260810118314,0.23988011581414698,0.26136414333605684,-0.23133294389654704,0.0031415352348737125,-0.47121305971069416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
