t_sec,joint1_pos,joint1_master_err,joint2_pos,joint2_master_err,joint3_pos,joint3_master_err,joint4_pos,joint4_master_err,joint5_pos,joint5_master_err,joint6_pos,joint6_master_err
-0.008665,0.04514230480257652,0.04514230480257652,0.5108925439849776,0.09113751054094221,-0.710399482708318,-0.262972526682292,0.3325052347461636,0.3325052347461636,0.5200968589673169,0.008740214145625647,-0.32408907864386594,-0.32408907864386594
-0.006623,0.04532521261905748,0.04532521261905748,0.5113118865919865,0.09097981919980624,-0.7110322911475849,-0.26351082398881104,0.3336757217031763,0.3336757217031763,0.5203414673102702,0.008840940098949646,-0.3251846987185374,-0.3251846987185374
-0.004619,0.04543431444268306,0.04543431444268306,0.5116256423612651,0.09129357496908486,-0.7113507522057406,-0.26382928504696673,0.33387257073378007,0.33387257073378007,0.5203313811601737,0.00883085394885319,-0.325267723678225,-0.325267723678225
-0.002846,0.04553586505166086,0.04553586505166086,0.5119214822656428,0.09158941487346262,-0.7116335284050571,-0.2641120612462832,0.33396493387470966,0.33396493387470966,0.5202926828622325,0.00879215565091196,-0.32524252659515007,-0.32524252659515007
-0.001164,0.045637719436769614,0.045637719436769614,0.5122102204326626,0.09187815304048241,-0.7119139901852942,-0.26439252302652033,0.33405647483196255,0.33405647483196255,0.5202524497463238,0.008751922535003231,-0.32521691368282796,-0.32521691368282796
0.00055,0.04574074011566491,0.04574074011566491,0.5124934390230017,0.0921613716308215,-0.7121960911347919,-0.264674623976018,0.3341591015296392,0.3341591015296392,0.5202138447042397,0.008713317492919148,-0.32520322126034007,-0.32520322126034007
0.002598,0.04592284658438072,0.04592284658438072,0.5129153420120776,0.09199025173639364,-0.7128275760128906,-0.2652080037540043,0.3353212832859411,0.3353212832859411,0.5204571699154389,0.008808859009058811,-0.3262893735426227,-0.3262893735426227
0.004541,0.046031654650903295,0.046031654650903295,0.5132305913056318,0.09230550102994783,-0.713145088543109,-0.26552551628422266,0.33551435980802136,0.33551435980802136,0.5204463897551803,0.00879807884880024,-0.32636790136110405,-0.32636790136110405
0.006444,0.04613298126552678,0.04613298126552678,0.5135277467337729,0.09260265645808896,-0.7134269706350466,-0.26580739837616024,0.3356035850645926,0.3356035850645926,0.5204070929777781,0.008758782071398019,-0.3263389069937679,-0.3263389069937679
0.008409,0.04623462811176038,0.04623462811176038,0.5138177317779976,0.09289264150231369,-0.7137065537521385,-0.2660869814932522,0.33569215113764084,0.33569215113764084,0.520366295783085,0.008717984876704943,-0.3263096794970295,-0.3263096794970295
0.010525,0.04633745057860087,0.04633745057860087,0.5141021440880843,0.09317705381240038,-0.7139877863294517,-0.2663682140705654,0.33579190516566904,0.33579190516566904,0.5203271525801553,0.008678841673775195,-0.32629248825357643,-0.32629248825357643
0.012636,0.04651835088351055,0.04651835088351055,0.514525323179609,0.09360023290392505,-0.7146158302921205,-0.2669962580332342,0.33694000237327326,0.33694000237327326,0.5205675474279178,0.008919236521537699,-0.32736323525808236,-0.32736323525808236
0.014886,0.04662691407895082,0.04662691407895082,0.5148414429110447,0.0939163526353608,-0.7149322479796053,-0.267312675720719,0.33712955888991114,0.33712955888991114,0.5205560307678857,0.008907719861505625,-0.32743759955423346,-0.32743759955423346
