t_sec,joint1_plan,joint2_plan,joint3_plan,joint4_plan,joint5_plan,joint6_plan
-0.006623,0.04532521261905748,0.5113118865919865,-0.7110322911475849,0.3336757217031763,0.5203414673102702,-0.3251846987185374
-0.004619,0.04543431444268306,0.5116256423612651,-0.7113507522057406,0.33387257073378007,0.5203313811601737,-0.325267723678225
-0.002846,0.04553586505166086,0.5119214822656428,-0.7116335284050571,0.33396493387470966,0.5202926828622325,-0.32524252659515007
-0.001164,0.045637719436769614,0.5122102204326626,-0.7119139901852942,0.33405647483196255,0.5202524497463238,-0.32521691368282796
0.00055,0.04574074011566491,0.5124934390230017,-0.7121960911347919,0.3341591015296392,0.5202138447042397,-0.32520322126034007
0.002598,0.04592284658438072,0.5129153420120776,-0.7128275760128906,0.3353212832859411,0.5204571699154389,-0.3262893735426227
0.004541,0.046031654650903295,0.5132305913056318,-0.713145088543109,0.33551435980802136,0.5204463897551803,-0.32636790136110405
0.006444,0.04613298126552678,0.5135277467337729,-0.7134269706350466,0.3356035850645926,0.5204070929777781,-0.3263389069937679
0.008409,0.04623462811176038,0.5138177317779976,-0.7137065537521385,0.33569215113764084,0.520366295783085,-0.3263096794970295
0.010525,0.04633745057860087,0.5141021440880843,-0.7139877863294517,0.33579190516566904,0.5203271525801553,-0.32629248825357643
0.012636,0.04651835088351055,0.514525323179609,-0.7146158302921205,0.33694000237327326,0.5205675474279178,-0.32736323525808236
0.014886,0.04662691407895082,0.5148414429110447,-0.7149322479796053,0.33712955888991114,0.5205560307678857,-0.32743759955423346
0.017261,0.046728112677703874,0.5151393954949687,-0.7152133231474692,0.3372165773422671,0.5205162787811402,-0.32740584233240067
0.019474,0.04682964682035276,0.5154301456573599,-0.7154921398807177,0.33730313868057715,0.5204750761403549,-0.3273740704667366
0.021566,0.04693235941783783,0.5157152969665214,-0.7157726163739027,0.3374009544235996,0.5204355486643619,-0.3273544089232472
0.02368,0.04711483426650978,0.5161444280658721,-0.7164094779358003,0.33857227166681303,0.5206829206590288,-0.32844849984938185
0.025589,0.047223346651285296,0.5164624796965004,-0.7167260000918309,0.3387614716162101,0.520671644343691,-0.3285219507966908
0.027478,0.047324309540656515,0.5167618286667008,-0.7170061477374398,0.33884541149650904,0.5206313488173876,-0.32848649020776355
0.029405,0.047425594672485784,0.5170538599801883,-0.7172839251302758,0.3389286660180893,0.5205895336217928,-0.3284507910276325
0.031232,0.04752806474100151,0.5173402302374823,-0.7175633602658534,0.33902324118136595,0.5205494090950029,-0.32842728061700466
0.033275,0.04770706672800153,0.5177664058105296,-0.71818653728858,0.34015001611912327,0.5207856746368987,-0.3294744123148032
0.035082,0.04781519343572607,0.5180841264798294,-0.7185008903345621,0.3403334362136112,0.5207729117377076,-0.3295414560325294
0.036991,0.0479161317584547,0.5183834712038743,-0.7187802511107534,0.34041622251323994,0.5207322933980849,-0.32950442596462604
0.038834,0.04801742720143477,0.5186755492044758,-0.7190574083470491,0.34049885974874816,0.520690300521291,-0.32946771643291806
0.040641,0.04811990366734846,0.5189619829073622,-0.7193362435746401,0.34059286374411185,0.5206500209285275,-0.32944324233522043
0.042493,0.04829828613332225,0.5193890675784691,-0.7199579621612877,0.3417130883196466,0.5208850787872867,-0.33048291880063396
0.044315,0.048406358883421825,0.5197068532927923,-0.7202716276766981,0.34189542431800796,0.5208720487546151,-0.3305484421550886
0.046145,0.04850730196693418,0.5200061769343133,-0.7205503927839779,0.34197775428149557,0.5208312810434752,-0.3305105728092091
0.047975,0.04860860047329291,0.5202982375694176,-0.7208269641530625,0.34205998383291975,0.5207891570006444,-0.3304730764628021
0.049824,0.048711071404361865,0.5205846672265455,-0.721105212907507,0.34215356019230947,0.5207487522744926,-0.3304477937891125
0.052164,0.04881473745079621,0.5208659321792678,-0.7213855505413864,0.34225934111493955,0.5207103510898206,-0.33043556589321876
0.053949,0.048994543795853614,0.5212911048256647,-0.7220124015755175,0.34339843192401587,0.5209497155402072,-0.3314943887838767
0.055494,0.049103640107746274,0.5216048789309492,-0.7223278156664525,0.3435919323790505,0.5209386227487777,-0.3315713688813934
0.057161,0.049205492537629916,0.5219001656206429,-0.7226078723290592,0.343684055763833,0.5208994412069086,-0.33154353648841517
0.058985,0.04930762434524889,0.5221883990326943,-0.7228856288589254,0.3437754852347294,0.5208587987837797,-0.33151543110801956
0.060823,0.04948541524955299,0.5226208880994324,-0.7235090714546363,0.34489457875094137,0.5210950351154069,-0.3325524038946202
0.06265,0.04959299914238941,0.5229407323734054,-0.7238213937266262,0.34507285529221354,0.521081364356851,-0.3326127086573704
0.064488,0.049693474289409,0.5232416548482212,-0.7240984515645967,0.345150863140435,0.5210397704109878,-0.3325694263106827
0.066322,0.04979431487606391,0.5235352035451972,-0.7243732749989089,0.3452288224807405,0.520996828838915,-0.33252659449591315
0.068158,0.0498963357032961,0.5238230548632218,-0.7246497733564623,0.345318213969166,0.5209556370223783,-0.33249608132300873
0.069978,0.04999955837285352,0.5241056827445397,-0.7249283621537618,0.3454198952554027,0.5209164803483858,-0.3324787262649875
0.071866,0.05010391421410613,0.5243834009520599,-0.725209037639557,0.345533472463884,0.5208793110390417,-0.33247407319775596
0.073656,0.0502855302471437,0.5248121773983047,-0.7258459936374325,0.3467019523722413,0.5211268645019052,-0.3335621027089416
0.075477,0.05039519380468146,0.5251242275304794,-0.7261624873455019,0.346903525007737,0.5211174202468755,-0.3336467504537508
0.07731,0.05049741859466068,0.525417292276537,-0.726442499784076,0.3470008628910577,0.5210790670506303,-0.3336236745893467
0.079145,0.05059985567470421,0.5257033757894931,-0.7267200350563181,0.3470968731019057,0.5210391227966521,-0.3335996606212504
0.080989,0.050774154361841836,0.5261306096538383,-0.727329984407708,0.34817453506470114,0.5212646527666089,-0.3345923762578018
0.082812,0.050881751469710655,0.5264471401223937,-0.7276407579101429,0.3483536264884631,0.5212505647249509,-0.3346528711735665
0.084654,0.0509826066847093,0.5267451491918358,-0.7279176493143563,0.3484371511520689,0.521209748516058,-0.3346147115898855
0.086478,0.051083821102155175,0.527035990466482,-0.7281924221078618,0.34852084509787884,0.5211676870856881,-0.33457721770793936
0.088311,0.05118616757800563,0.5273213071239831,-0.7284688335425937,0.34861566579503495,0.5211273486694055,-0.3345517090068222
0.090147,0.051289665302122985,0.5276015598618319,-0.7287472808712624,0.3487224223009844,0.5210890049803709,-0.33453897565164215
0.091992,0.05146777705469724,0.5280315050734504,-0.7293736155301296,0.3498525879196831,0.5213279646239874,-0.3355857425340871
0.093814,0.05157648505770217,0.5283449868681681,-0.7296871066946836,0.3500454950921987,0.5213167261622885,-0.33566045735831196
0.095645,0.051678069482684816,0.5286394538019862,-0.7299650296647113,0.35013780377645976,0.5212774282863057,-0.3356313061817851
0.097493,0.05177991272497601,0.5289268785790091,-0.7302405841837603,0.3502292996059471,0.5212366702522059,-0.3356017770955406
0.099299,0.05188282462468122,0.529208967672219,-0.7305176997820603,0.35033144239947067,0.5211975568855652,-0.3355837090528927
0.101171,0.051986831870028734,0.5294861790063109,-0.7307967944749354,0.35044511731645744,0.5211603787545266,-0.33557797315260374
0.102991,0.05216371967147659,0.5299121073257169,-0.7314180762806742,0.35156197255047456,0.5213955129089765,-0.3366103794135388
0.104823,0.05227274438154004,0.5302223000192052,-0.7317315841018561,0.351759687546231,0.5213848798560291,-0.3366898649036295
0.10659,0.05237478290384989,0.5305137270975703,-0.7320100822048315,0.35185862797730116,0.521346669966948,-0.33666739661650535
0.108489,0.052477052288984846,0.5307982944638884,-0.7322862298209053,0.35195664165309437,0.5213070098785416,-0.3366444166017793
0.110323,0.0526516654902922,0.5312317083518393,-0.7329033714584597,0.35305126838695133,0.5215384831697512,-0.337652662978096
0.112147,0.05275899336250629,0.5315482524777858,-0.7332134045872012,0.3532325341874738,0.5215250331634753,-0.33771421109289745
0.114,0.05285948526544306,0.5318455905997784,-0.7334885662689669,0.35331628941489956,0.5214842143237248,-0.3376751970338991
0.11582,0.05296030164993756,0.5321357294459897,-0.7337614520760852,0.3533998155154599,0.5214420703875381,-0.3376364535018747
0.117581,0.05306222337485734,0.5324203865706554,-0.7340359189592834,0.3534942618561011,0.5214016369303267,-0.33760948860044043
0.119572,0.05316527143907913,0.5327000278283173,-0.734312376085773,0.353600466746395,0.5213631938144608,-0.3375951220159735
0.121273,0.05326938035414303,0.5329749537730325,-0.7345908190290968,0.3537180534892249,0.5213266943825097,-0.3375929175459142
0.123144,0.05344547644871621,0.5334014433565664,-0.7352116697291281,0.35483257270466306,0.5215618390576924,-0.338621671342169
0.125001,0.053554442774984216,0.5337098367158888,-0.7355244290555978,0.3550330143567217,0.521551694772332,-0.3387033667375558
0.126812,0.05365647429153569,0.5339992901654722,-0.7358020994325859,0.3551350340744544,0.5215140044741278,-0.33868353850355465
0.12865,0.053758708145955264,0.5342819649976762,-0.7360773685251488,0.3552359253836435,0.521474841944254,-0.3386629893914007
0.130478,0.053932621124961964,0.5347167919809972,-0.7366949095464773,0.3563302572462534,0.5217069830194181,-0.33966966992496817
0.132315,0.05403977622622853,0.5350320075060981,-0.7370040626846341,0.3565134779455909,0.5216939206732402,-0.33973260184309756
0.134152,0.05414012873159993,0.5353277743950566,-0.7372781541621923,0.35659924589977837,0.5216534369377257,-0.3396951008961176
0.136154,0.05424078126616082,0.5356163935276362,-0.7375499099967091,0.35668458817458654,0.5216116034984906,-0.3396576711993278
0.137934,0.054342509169437184,0.5358996123695433,-0.7378232027997983,0.35678063210179545,0.5215714601112517,-0.3396317911453004
0.139829,0.054445334113833,0.5361778953055681,-0.7380984436986615,0.35688822148119126,0.5215332879221769,-0.33961828614088374
0.141683,0.05454919194519838,0.5364515379586283,-0.7383756286368321,0.3570069880445957,0.5214970411674198,-0.33961672951454697
0.143423,0.054723536949951024,0.5368781313442065,-0.7389924223448275,0.35810778996512777,0.5217293834232576,-0.34063002343922705
0.145148,0.054832099794854566,0.5371852286998517,-0.7393035685026143,0.3583078839584218,0.5217191283748481,-0.34071073599534085
0.146988,0.05493386354324552,0.5374732892899655,-0.7395798834795082,0.3584109726877714,0.5216816356714526,-0.3406914653613712
0.148871,0.05503582130183667,0.5377546262049056,-0.7398537928294368,0.35851292455421313,0.5216426925961708,-0.340671472248985
0.150592,0.05520827810485914,0.5381902173167977,-0.7404687143675381,0.359597870268751,0.5218732048561342,-0.3416671982978441
0.15249,0.055315019962889525,0.5385042727348006,-0.7407762979693927,0.359780927530112,0.5218601066902081,-0.3417293587356436
0.154313,0.05541505995553212,0.5387987147987632,-0.7410489129991221,0.35986746369503286,0.5218197659860084,-0.34169212544558025
0.156146,0.05551538886989473,0.5390860511397109,-0.7413191706460472,0.35995351898461486,0.5217780844441394,-0.34165491433737244
0.15799,0.055616769723338406,0.5393680497240192,-0.7415909297615256,0.3600501092135615,0.5217380819727373,-0.34162908106207623
0.159824,0.05571922373818139,0.5396451733561862,-0.7418645998946652,0.36015807139403855,0.521700037860345,-0.34161544376485625
0.161602,0.055822687671209716,0.5399177136747954,-0.7421401769164113,0.3602770427399481,0.5216639066143561,-0.34161358201298664
0.163484,0.05599563239972823,0.5403456421312202,-0.7427548915601926,0.36136993618858976,0.5218951369883176,-0.3426174782191484
0.165323,0.0561036780844566,0.5406518800469919,-0.7430642926945603,0.3615691987614353,0.5218847978745975,-0.3426967511641158
0.167339,0.05620501084175916,0.5409388668293651,-0.7433388731822885,0.36167216359935656,0.5218473366221149,-0.3426768503423723
0.16912,0.056306529052568985,0.5412191497591337,-0.7436110197010783,0.3617739410815215,0.5218084306497774,-0.3426561856249132
0.170867,0.056408990960001404,0.5414944805556684,-0.7438845647510783,0.3618854677287096,0.5217710786459528,-0.34264603001892485
0.172616,0.056580454513854975,0.5419260159092674,-0.7444967642149848,0.3629663251196194,0.5220003562105544,-0.3436366243755956
0.174527,0.05668752678377229,0.5422347383509579,-0.7448040458536617,0.36315807025321967,0.5219887439302632,-0.34370756909735883
0.176311,0.056787978230131,0.5425239540130339,-0.7450765688557495,0.363254265771417,0.521950135546221,-0.34368017602240314
0.178148,0.056888655213626606,0.5428063209714253,-0.7453466797998866,0.36334956082630027,0.5219101390785864,-0.34365234760376545
0.180048,0.05699030770574418,0.5430836104356839,-0.7456182063043425,0.3634548276040452,0.5218717428517182,-0.3436352850509489
0.181825,0.05716048635959204,0.5435180000692629,-0.7462279772416522,0.3645250101302893,0.5220992676411826,-0.34461413314715644
0.183655,0.057266765752035556,0.543828489516477,-0.7465332260806627,0.36471050861435866,0.5220865940159422,-0.3446782042632663
0.185541,0.057366503701997855,0.5441192552607358,-0.7468037785668273,0.36480114367143607,0.5220470429622421,-0.3446447003459059
0.187363,0.0574664955974929,0.5444030645861038,-0.7470719408831517,0.3648911088625867,0.5220061513057725,-0.3446110226594453
0.189151,0.057567483905543636,0.5446817061238837,-0.7473415354331175,0.36499121488440267,0.5219668971877026,-0.3445883041531406
0.190991,0.05773669078095064,0.5451188096345166,-0.7479498458343057,0.3660542820480144,0.5221935184766718,-0.3455591850326345
0.192819,0.05784230978491647,0.5454306348109074,-0.7482532258606762,0.36623468810483417,0.5221800102285776,-0.34561766883015427
0.194658,0.05794143820858179,0.5457225068691666,-0.7485218750913245,0.36632059451901194,0.5221396624309103,-0.3455790011972643
0.196487,0.058040839120659465,0.5460073343389995,-0.748788143919412,0.3664059903354485,0.5220980062500326,-0.3455403421664302
