t_sec,world_pos_err_m,world_orient_err_rad,base_pos_err_m,base_orient_err_rad,solve_time_us
0.008477,0.05791291424396139,0.21974101212071137,0.05791291424396132,0.21974101212071137,1178.0
0.010055,0.015554837832364877,0.06479325357081989,0.015554837832364856,0.06479325357081986,905.0
0.011457,0.021998203232448395,0.06718256645972523,0.021998203232448436,0.06718256645972509,1033.0
0.0126,0.050009187526542535,0.19969859439056803,0.05000918752654247,0.19969859439056803,984.0
0.013823,0.05597735312390855,0.21511682270719618,0.05597735312390851,0.21511682270719618,911.0
0.014984,0.016537597925546856,0.0624662451099086,0.016537597925546835,0.06246624510990855,1775.0
0.016073,0.0229679866259153,0.0655878045760639,0.02296798662591529,0.065587804576064,1521.0
0.017218,0.023044217658964063,0.0627351873552197,0.023044217658964094,0.06273518735521975,1311.0
0.018067,0.02235277624226188,0.05959560042349941,0.022352776242261816,0.05959560042349939,1258.0
0.018883,0.21673066262260235,1.2939967595038744,0.21673066262260238,1.2939967595038744,1314.0
0.019711,0.026165959850989358,0.11090000150583006,0.026165959850989337,0.11090000150583,1248.0
0.020625,0.020224719160537988,0.04814360222209532,0.020224719160538043,0.04814360222209526,1210.0
0.021621,0.020806223156908655,0.06110285240600263,0.020806223156908613,0.06110285240600267,1149.0
0.0227,0.052567270251068346,0.19730501342516493,0.05256727025106836,0.19730501342516493,1082.0
0.023622,0.05870199344895943,0.2134092322250574,0.05870199344895935,0.21340923222505728,1152.0
0.024518,0.014954598247656669,0.0580188248909079,0.014954598247656664,0.058018824890907955,1493.0
0.025922,0.02078770402357065,0.05944617257571557,0.020787704023570625,0.059446172575715495,1203.0
0.027958,0.020980741940966077,0.057200046776070455,0.02098074194096602,0.057200046776070414,1044.0
0.029869,0.05219996550940895,0.1960881714415489,0.05219996550940899,0.1960881714415489,1050.0
0.031851,0.0583354609605265,0.21247033998655446,0.058335460960526456,0.21247033998655446,1060.0
0.033746,0.015035087164843372,0.05227190063521538,0.015035087164843414,0.05227190063521534,1131.0
0.035798,0.021019195521119173,0.05387760067815625,0.021019195521119194,0.05387760067815627,1059.0
0.037716,0.02120784566254598,0.0518946161923146,0.021207845662546014,0.051894616192314655,1171.0
0.039593,0.051893945105231605,0.19518000066148328,0.05189394510523163,0.19518000066148328,1287.0
0.041633,0.05802183814826768,0.2117920485254883,0.058021838148267675,0.21179204852548827,1070.0
0.043223,0.015155337647418695,0.047276182398478875,0.0151553376474187,0.047276182398478896,1037.0
0.045346,0.021247993638891752,0.04899812303165513,0.021247993638891755,0.04899812303165505,1062.0
0.047319,0.021429282725732687,0.04725179593641139,0.02142928272573267,0.047251795936411295,1071.0
0.049202,0.020818014327565554,0.044906970386839266,0.0208180143275656,0.04490697038683923,1026.0
0.051252,0.05211479389284393,0.1934578242505022,0.052114793892843875,0.1934578242505022,1059.0
0.053224,0.014249553362031212,0.04461182442736887,0.014249553362031212,0.044611824427368836,1027.0
0.055268,0.01940785474332913,0.045987612268994754,0.019407854743329088,0.04598761226899486,1100.0
