t_sec,master_slave_pos_err_m
0.008477,0.023755397914491126
0.010055,0.023755397914491126
0.011457,0.023917850544669304
0.0126,0.023917850544669304
0.013823,0.023917850544669304
0.014984,0.02447816940566129
0.016073,0.02447816940566129
0.017218,0.02447816940566129
0.018067,0.02447816940566129
0.018883,0.02447816940566129
0.019711,0.024658851391149882
0.020625,0.024658851391149882
0.021621,0.02482066674113219
0.0227,0.02482066674113219
0.023622,0.02482066674113219
0.024518,0.025444728998235102
0.025922,0.025444728998235102
0.027958,0.02432369652617852
0.029869,0.02432369652617852
0.031851,0.023654059579739938
0.033746,0.023654059579739938
0.035798,0.025024094188876196
0.037716,0.021453034332068067
0.039593,0.021453034332068067
0.041633,0.023064553245091334
0.043223,0.023064553245091334
0.045346,0.02346052167117203
0.047319,0.02346052167117203
0.049202,0.02212241959882106
0.051252,0.023194643027459785
0.053224,0.023194643027459785
0.055268,0.02365368267291182
0.057364,0.02365368267291182
0.058835,0.021657915364898462
0.061045,0.02181854788808192
0.063175,0.02529302849523132
0.064658,0.02529302849523132
0.066639,0.02259325371691425
0.06862,0.021157761308107505
0.070711,0.021157761308107505
0.072847,0.021670718213070567
0.074899,0.021670718213070567
0.076306,0.02000128403836616
0.078516,0.02000128403836616
0.080902,0.020755083991466566
0.08235,0.020755083991466566
0.084881,0.019014434687410188
0.086511,0.019014434687410188
0.08814,0.01852149082344542
0.090389,0.01852149082344542
0.091888,0.019041126593946953
0.093819,0.019041126593946953
0.095773,0.019683920875755836
0.097724,0.01830079132752114
0.099837,0.01830079132752114
0.101839,0.01941227399200148
0.103801,0.01941227399200148
0.105974,0.020056047792581556
0.107541,0.020056047792581556
0.10991,0.01861068253507249
0.111401,0.018767391117758683
0.113326,0.021435665105734292
0.115382,0.01942530065653349
0.117785,0.01942530065653349
0.119236,0.01994170133439394
0.12134,0.02010055752570292
0.12344,0.021796804770946986
0.125473,0.021796804770946986
0.126907,0.01972110828175323
0.128827,0.01972110828175323
0.130694,0.020418301808489785
0.132933,0.02105640286254439
0.13481,0.02105640286254439
0.136765,0.01944303300148871
0.138952,0.022309651969927086
0.140939,0.022465628383291258
0.142677,0.02026623708595653
0.144667,0.02026623708595653
0.146363,0.01907457368151266
0.148571,0.019444864607925702
0.151001,0.01959992629710819
0.152718,0.018235136282454417
0.154254,0.018235136282454417
0.156549,0.018591579807400366
0.158772,0.018591579807400366
0.160298,0.017539937983853993
0.162324,0.01768663492747061
0.164352,0.01673910192169243
0.166314,0.018799661241550285
0.168238,0.018799661241550285
0.170307,0.017272004556477413
0.171848,0.01742049692587245
0.173885,0.01775537500462396
0.175959,0.01775537500462396
0.177777,0.018420557414083164
0.179851,0.018420557414083164
0.181969,0.017292468826412454
0.18384,0.019719102775097423
0.185615,0.019719102775097423
0.187478,0.01786122545247542
0.189731,0.01786122545247542
0.192539,0.01850317078478982
0.193462,0.01850317078478982
0.195595,0.01915041962710251
0.197549,0.01915041962710251
0.199522,0.017701760344013873
0.201603,0.020552523008323127
0.203055,0.020552523008323127
0.205356,0.01845538658125831
0.207201,0.01845538658125831
0.209889,0.019056650341232082
0.211141,0.019210201160350954
0.213172,0.019210201160350954
0.214756,0.02094488464351478
0.216699,0.02094488464351478
0.218536,0.01875089727734362
0.220466,0.01875089727734362
0.223083,0.017852350548989145
0.224573,0.018227801182801564
0.226988,0.018227801182801564
0.228646,0.01715455710065888
0.231073,0.017300738441959448
0.232711,0.01768391417118207
0.234291,0.01768391417118207
0.236386,0.016845791704694257
0.238345,0.016845791704694257
0.240209,0.01645295026474557
0.242497,0.016593714684785515
0.244005,0.01672013348745701
0.246149,0.01672013348745701
0.247943,0.017367419377202393
0.250293,0.01640559485368145
0.251906,0.01655101850789051
0.253804,0.01884404348794129
0.255587,0.01884404348794129
0.257933,0.01723230018164188
0.259847,0.017715558962135686
0.262208,0.017864859636635463
0.264611,0.019470900429984086
0.266621,0.019470900429984086
0.268339,0.019470900429984086
0.269972,0.017657421509245482
0.272024,0.017803836755341928
0.273716,0.01836892843600923
0.275936,0.01836892843600923
0.277344,0.020039147871773296
0.279316,0.020039147871773296
0.281343,0.020908063540185005
0.283299,0.020908063540185005
0.285017,0.019711521197437104
0.287195,0.019711521197437104
0.288763,0.021824452117586397
0.291131,0.02196418034340758
0.29284,0.022413769949972667
0.294758,0.022413769949972667
0.296652,0.021743541001474662
0.298476,0.023656238754591975
0.300375,0.023656238754591975
0.302412,0.021238794834249466
0.30461,0.021238794834249466
0.306476,0.019974082446529536
0.308557,0.021392524000071952
0.310534,0.021392524000071952
0.31259,0.019631873309842274
0.314028,0.019631873309842274
0.316352,0.018526712018352945
0.318125,0.021415131451928315
0.320593,0.021415131451928315
0.322661,0.02040298289276723
0.32452,0.02040298289276723
0.326279,0.02040298289276723
0.328737,0.01887502902056302
0.329954,0.01887502902056302
0.332453,0.021963630369129954
0.333923,0.021963630369129954
0.335903,0.01970720705238627
0.337881,0.01970720705238627
0.339871,0.01919076058887542
0.341886,0.02232997676322546
0.343481,0.02232997676322546
0.345375,0.024334301051250378
0.347385,0.024334301051250378
0.349513,0.021732998293838665
0.351898,0.02187891059243381
0.353328,0.027402171745567867
0.355236,0.027402171745567867
0.357126,0.02310572892761655
0.359045,0.022351629136174576
0.361892,0.02249905144081248
0.363482,0.025948424374283564
0.365179,0.025948424374283564
0.367473,0.02326957856236062
0.369337,0.02326957856236062
0.372095,0.02416729625663949
0.372997,0.02416729625663949
0.375061,0.024714283132611425
0.376502,0.024714283132611425
0.378479,0.022733318085832434
0.38047,0.022733318085832434
0.382369,0.02358248335563612
0.384605,0.02358248335563612
0.386629,0.02149245838353615
0.388694,0.020196951827493172
0.390061,0.020196951827493172
0.392175,0.022193051125853815
0.394058,0.022193051125853815
0.395912,0.01775755004582087
0.398,0.01775755004582087
0.400095,0.01899461357715509
0.402299,0.019566143771847722
0.404132,0.019566143771847722
0.406115,0.01803104766685573
0.408117,0.01803104766685573
0.410073,0.02168539804143664
0.412087,0.021828964371289915
0.413578,0.019131604244568078
0.415579,0.019131604244568078
0.41752,0.020216482825729885
0.419915,0.020702465663695657
0.421823,0.020848568376080033
0.423914,0.019235684240101518
0.425501,0.019235684240101518
0.427862,0.02273551133152895
0.42944,0.02273551133152895
0.431573,0.020252822204954824
