t_sec,joint1_pos,joint1_err,joint2_pos,joint2_err,joint3_pos,joint3_err,joint4_pos,joint4_err,joint5_pos,joint5_err,joint6_pos,joint6_err
-0.007965,-0.02656540763176816,-0.02656540763176816,0.08602029046272391,-0.1362091966210659,-0.6369514281395081,-0.17412843882173124,0.5204934579752174,0.5204934579752174,0.42518753957106925,-0.0336641990118392,-0.5031774101228935,-0.5031774101228935
-0.005958,-0.017565407631768146,-0.017565407631768146,0.07702029046272393,-0.14520919662106588,-0.627951428139508,-0.16512843882173112,0.5114934579752173,0.5114934579752173,0.41618753957106913,-0.04266419901183932,-0.4941774101228934,-0.4941774101228934
-0.003998,-0.012219561663956192,-0.012219561663956192,0.06802029046272395,-0.15376510514269293,-0.6189514281395079,-0.15594913954973721,0.5024934579752172,0.5024934579752172,0.407187539571069,-0.05186171815975382,-0.4851774101228933,-0.4851774101228933
-0.002041,-0.0212195616639562,-0.0212195616639562,0.07702029046272393,-0.14476510514269295,-0.627951428139508,-0.16494913954973733,0.5114934579752173,0.5114934579752173,0.41618753957106913,-0.0428617181597537,-0.4941774101228934,-0.4941774101228934
-0.000107,-0.025556711664755767,-0.025556711664755767,0.08602029046272391,-0.13576510514269297,-0.6369514281395081,-0.17394913954973745,0.5204934579752174,0.5204934579752174,0.42518753957106925,-0.033861718159753584,-0.5031774101228935,-0.5031774101228935
0.001872,-0.016556711664755752,-0.016556711664755752,0.07702029046272393,-0.14476510514269295,-0.627951428139508,-0.16494913954973733,0.5114934579752173,0.5114934579752173,0.41618753957106913,-0.0428617181597537,-0.4941774101228934,-0.4941774101228934
0.004341,-0.01140009531580519,-0.01140009531580519,0.06802029046272395,-0.15376510514269293,-0.6189514281395079,-0.15594913954973721,0.5024934579752172,0.5024934579752172,0.407187539571069,-0.05186171815975382,-0.4851774101228933,-0.4851774101228933
0.006592,-0.01115097348992739,-0.01115097348992739,0.06350117087077711,-0.15828422473463977,-0.6179115470171472,-0.15490925842737657,0.5027288808287095,0.5027288808287095,0.41103902553268673,-0.048010232198136105,-0.4860611208189329,-0.4860611208189329
0.008421,-0.011478999694713598,-0.011478999694713598,0.06011836104896478,-0.1616670345564521,-0.6195991466327863,-0.1565968580430156,0.5117288808287096,0.5117288808287096,0.41654209446668844,-0.042507163264134395,-0.495061120818933,-0.495061120818933
0.010211,-0.002478999694713599,-0.002478999694713599,0.06911836104896477,-0.1526670345564521,-0.6285991466327864,-0.16559685804301572,0.5207288808287097,0.5207288808287097,0.4075420944666883,-0.051507163264134515,-0.5040611208189331,-0.5040611208189331
