t_sec,base_pos_err_m,base_orient_err_rad,mount_x,mount_y,mount_z,int_0,int_1,int_2,int_3,int_4,int_5
0.018754,0.014800420248824822,0.01158373703489923,0.0003055390922032111,-0.00034582109669517173,0.00032394848240348934,0.01349240510100901,-0.0006746266025631249,0.00036815230292481594,-0.0008931336618434376,-0.002848329938579052,-0.006038443303039324
0.020532,0.01487158816249136,0.011186196100221157,0.0003148385718680144,-0.0003563466115587094,0.00033380827580286064,0.013600317919531887,-0.000673126642817014,0.0003716870340087614,-0.0009224998827782983,-0.002853884887042208,-0.006060219620921247
0.021753,0.014886392086068635,0.011217286887528136,0.0003242720576285055,-0.00036702379976342396,0.0003438101494546077,0.013707377388388158,-0.0006717727597182519,0.00037519567962994785,-0.0009519063555169957,-0.0028594884664088073,-0.0060820767694168545
0.022716,0.014948128364478404,0.010887888415002205,0.00033383930976000535,-0.000377852389979546,0.0003539538491901218,0.013812904451595609,-0.0006703070946320899,0.0003786622431304744,-0.0009814428410255065,-0.0028647677571280415,-0.006103353885591719
0.023743,0.0150127672028574,0.010533792380311543,0.00034354008853783465,-0.0003888321108773059,0.00036423912084079395,0.01391685397479334,-0.0006687052227610842,0.0003820856163323609,-0.0010111139769560338,-0.002869694807056404,-0.006124003057691869
0.024744,0.015075172645752024,0.010194328524347164,0.00035337415423731416,-0.000399962691126934,0.00037466571023801515,0.014019274722171769,-0.0006669703053189799,0.0003854664592469119,-0.0010409144988397425,-0.002874282134559536,-0.0061440482250079516
0.025787,0.015081335098660234,0.010273598010624663,0.0003633412671337649,-0.00041124385939866117,0.00038523336321317684,0.014121028555037763,-0.0006653965512900306,0.00038882412659850513,-0.0010707382008699553,-0.0028789615364757364,-0.006164259235216916
0.02679,0.015135156137505254,0.009995904844116941,0.00037344118750250725,-0.00042267534436271734,0.0003959418255976697,0.014221432569325475,-0.0006637270610632387,0.00039214268081741487,-0.001100674665284226,-0.002883360832942801,-0.006183976652173597
0.027761,0.015192281143201043,0.009691633929512597,0.00038367367561886224,-0.0004342568746893333,0.00040679084322288504,0.014320436193570475,-0.0006619367761283495,0.0003954209593524965,-0.0011307293347337481,-0.0028874500730861887,-0.006203148775413062
0.028718,0.015247530805518036,0.009399582711342155,0.00039403849175815057,-0.00044598817904873935,0.0004177801619202139,0.014418079659308074,-0.0006600280691277102,0.0003986595547578313,-0.0011608978234962145,-0.0028912395599793995,-0.006221795335384423
0.030395,0.015246536501870972,0.009518937093947572,0.000404535396195693,-0.000457868986111166,0.0004289095275210474,0.014515217739500597,-0.0006582941084997481,0.00040187772647256583,-0.0011910753984752255,-0.0028951580068523096,-0.0062406800259470685
0.033373,0.015293907787445256,0.009283459349224912,0.00041516414920681036,-0.00046989902454684375,0.00044017868585677675,0.014611159699088518,-0.0006564775154317776,0.00040505950338341686,-0.0012213518622842506,-0.0028988320924275873,-0.006259141507684424
0.03527,0.015344932734193746,0.009019772822873801,0.00042592451106682335,-0.0004820780230260029,0.0004515873827587929,0.014705850055499197,-0.0006545525685364476,0.00040820366741473486,-0.0012517333496893078,-0.002902230051308666,-0.006277124655667163
0.037861,0.015394384349629977,0.008766315766016407,0.0004368162420510529,-0.0004944057102188742,0.00046313536405848707,0.01479932590345446,-0.0006525209897170957,0.000411310753688749,-0.0012822161899906513,-0.002905360380949068,-0.006294645759768193
0.040398,0.015387610359930701,0.00891800799652398,0.0004478391024348195,-0.0005068818147956877,0.00047482237558725017,0.014892438905741748,-0.0006506757776023233,0.0004143999778571481,-0.0013126967106274192,-0.0029086501646391613,-0.0063124649942735344
