t_sec,master_slave_pos_err_m,master_slave_orient_err_rad
0.835067,0.02163328535372778,0.00825004074951972
0.836941,0.021641596966299918,0.008423298093606275
0.839533,0.021614516826848437,0.009052378745597134
0.842072,0.02159756779399322,0.009718733610719838
0.844326,0.021613425833490456,0.009912617064402468
0.847181,0.02164224976617254,0.00986102911025102
0.849497,0.021672625072692082,0.009800739729865502
0.852017,0.02170269171276892,0.009743182067542997
0.853718,0.021718985008841472,0.009934964354765284
0.856219,0.021747824179011385,0.009883523418862228
0.859331,0.02177818587877112,0.009823538049411301
0.861629,0.021808237050781644,0.009766286003783329
0.863864,0.021824868629552397,0.009957382768668139
0.866113,0.021853695644454357,0.009906214049980998
0.868864,0.021884058189279118,0.009846403569819237
0.871547,0.021914112430046036,0.00978930727657515
0.873408,0.021931243576306086,0.009976719154704768
0.875782,0.0219600765698999,0.009925701054377038
0.878844,0.021990369449531318,0.009866486996164003
0.881071,0.02202034878484543,0.00981000389091538
0.883694,0.02203774442792157,0.009997203901578051
0.886296,0.02206651037362828,0.009946736257438867
0.888445,0.022096755049854745,0.009887942238004207
0.890935,0.02212669108928454,0.009831842266673115
0.893546,0.02214450968474198,0.01001604526426404
0.895845,0.022173239585168817,0.009965928813035634
0.898164,0.022203422859133834,0.009907625091234714
0.900782,0.02223329713205483,0.009852004324657672
0.903363,0.022251514356385782,0.010033184608839002
0.906054,0.02228019132656664,0.00998350957912637
0.908416,0.022310304930858223,0.009925735689768496
0.910691,0.022340110812112998,0.009870626153970503
0.91308,0.022358541366200732,0.010052618891902183
0.916032,0.022387156120839136,0.010003390174113587
0.918572,0.022417192001757118,0.00994614000719319
0.920807,0.02244692216419388,0.009891533678298923
0.923341,0.022465823808391194,0.01006853189080951
0.925207,0.02249437342641694,0.010019777500031085
0.928263,0.022524339301362016,0.009963020945337046
0.930704,0.02255400158254888,0.00990888359798898
0.933215,0.022572998979168354,0.010089462963388288
0.934768,0.0226014839647371,0.010041099092949342
0.937943,0.022631357346508552,0.009984882943229195
0.940495,0.022660927653565352,0.009931271984152333
0.942145,0.022689999047760357,0.009881275683596926
0.944607,0.02270893118264755,0.010055500390783557
0.946803,0.022738723747664537,0.00999981063578316
0.949772,0.02276821609436957,0.009946698477519474
0.952229,0.022797212911730733,0.009897170088899312
0.954277,0.022816358125811162,0.01007176316561079
0.956858,0.02284605561387545,0.010016639088554722
0.959493,0.022875453766814925,0.009964075611630152
0.961432,0.0229043597918581,0.00991506305475745
0.964855,0.022923799521230446,0.010087966527024296
0.966391,0.02295338784075934,0.01003346749123896
0.969436,0.02298267824396609,0.009981508439933697
0.971867,0.02301148036305505,0.009933065156345414
0.974517,0.023031208947930357,0.010104144964954721
0.976989,0.023058909978087835,0.010061064131870856
0.979537,0.023087986237645287,0.010010211502422891
0.982118,0.023116794468763403,0.009961677638659591
0.984618,0.02313690078925313,0.010132012931312336
0.986809,0.023166384209677805,0.01007801907353729
0.989348,0.023195568095178264,0.010026556080990838
0.991652,0.02322426596604165,0.009978578241916806
0.994249,0.023244723482493,0.0101444721431754
0.996049,0.02327232862978807,0.010101822081257336
0.998559,0.02330129158165783,0.010051467321701259
1.000792,0.02332998781391316,0.01000340968630986
1.003728,0.023350773652418166,0.010169423981272973
1.005914,0.023378399101310156,0.01012654657350976
1.008024,0.023407309563888725,0.010076383288518521
1.01035,0.023435945323281946,0.010028550895035548
1.012942,0.023457108625468088,0.010191395215696897
1.015394,0.023484677527635715,0.010148736319879541
1.017143,0.023513532034144698,0.010098767958748327
1.019553,0.02354211291303277,0.010051115614592512
1.022449,0.02357023711900022,0.010006712209749165
1.024622,0.02359110343780141,0.010170184908460674
1.026778,0.02361988881693125,0.010120456591428231
1.029286,0.023648400105232982,0.01007303849775068
1.031852,0.02367645592283803,0.010028853968657665
1.034329,0.023697652423398177,0.010190043140170078
1.036617,0.023726354743365128,0.010140618206834266
1.038841,0.02375478279573703,0.010093494758824142
1.041748,0.023782757195091445,0.01004958609235334
1.044177,0.02380424475471818,0.010209263354950317
1.046643,0.02383286345201877,0.01016011480533152
1.049052,0.023861208876683384,0.010113252366135419
1.0517,0.023889102676173828,0.010069586792954699
1.053422,0.023910850592485003,0.010228905418418333
1.056484,0.023939351797918274,0.010180196661724627
1.05889,0.02396757835627483,0.010133771077078557
1.06114,0.02399535654879589,0.010090515823751069
1.064213,0.02401743170053293,0.010245953743831339
1.066589,0.024045827217486944,0.010197615218368995
1.068336,0.024073951117976528,0.010151533462105093
1.070982,0.024101629217253655,0.01010859840195167
1.073397,0.024124007106464226,0.010260835303283079
1.075706,0.024150683304892274,0.010222717008218696
1.078587,0.0241785726466279,0.010177659980208899
1.081023,0.024206214499516914,0.010134679041625549
1.083331,0.024228885690311973,0.010288083487597117
1.085696,0.024255546499042418,0.010249777446391562
1.088834,0.024283405102719466,0.010204596198489624
1.09045,0.024311013102105407,0.010161502313140464
1.093286,0.024334080002362885,0.010310834437755071
1.095495,0.024360706297939915,0.010272441648862474
1.098355,0.024388507833630647,0.010227286547095196
1.100777,0.024416055916639964,0.010184227364736646
1.103443,0.024439434497099764,0.010331691260411295
1.106187,0.024466000948164566,0.010293331957967125
1.108546,0.02449372684098157,0.010248282679584421
1.110771,0.024521198174450844,0.0102053292493902
1.113302,0.024544857835773804,0.01035167554059123
1.115911,0.02457134851023639,0.01031340842076343
1.118081,0.02459899285014682,0.010268464840640238
1.120826,0.02462638243668196,0.010225610383966485
1.123508,0.024650332628700485,0.010370052797719742
1.125908,0.02467674340240371,0.010331875425073094
1.127791,0.02470427321328098,0.010287210015399614
1.130312,0.02473154629507314,0.010244636684328545
1.132716,0.02475839910547642,0.010204984460008677
1.135118,0.024755746564421574,0.010387615480022103
1.138155,0.024809437697231786,0.010305420304249673
1.140322,0.02483657262115632,0.010263231365691863
1.142545,0.024863290345433737,0.010223938568313032
1.145578,0.02488716986171862,0.010367451865225552
1.147671,0.024914440707586007,0.01032344162541449
1.150563,0.024941458060880942,0.010281488093955064
1.1527,0.024968060210383444,0.010242412017383353
1.155267,0.024992223786409497,0.010381021621664098
1.157574,0.025019352524442626,0.010337418202150363
1.16088,0.025046226860690277,0.010295866060989296
1.162581,0.025072688745543,0.010257166441233338
1.164834,0.02509703911242253,0.010397313444801385
1.167113,0.025122577357033923,0.010362978641872847
1.169981,0.025149198367043584,0.01032234130326144
1.172114,0.025175588875129624,0.010283582823233406
1.175179,0.025200288398597413,0.010418132302598674
1.177507,0.025227205145671484,0.010374841667754705
1.179963,0.02525386684134978,0.010333591594328248
1.182188,0.02528011814794891,0.010295170168608437
1.184551,0.02530499068910642,0.010430324463992315
1.187409,0.025331733366618474,0.01038753597390176
1.189901,0.025358223079757047,0.010346766481592336
1.192411,0.02538430642168287,0.010308793941527134
1.19561,0.02540936750228543,0.010442279961266301
1.197928,0.02543454318099586,0.010408605317144909
1.200152,0.02546076185500013,0.010368807909227592
1.202403,0.025486752090354392,0.010330854464118194
1.204917,0.025512105007638678,0.01046231543048359
1.207868,0.02553721002500328,0.010428544282455978
1.210068,0.025563342502184692,0.010388716046728995
1.21325,0.025589476943805516,0.010516652571982645
1.215832,0.025614868317281134,0.010480255324756096
1.217641,0.025639884658573156,0.010446462682679394
1.22016,0.025665886829167685,0.010406844646835766
1.223356,0.025692243695368534,0.01053317162317632
1.225899,0.025717503653701127,0.010496991773328112
1.228071,0.025742390411909625,0.010463399710457642
1.230481,0.025768271768862445,0.01042390254544751
1.232876,0.025794862927369627,0.010548313878880715
1.235224,0.025820006243815245,0.010512234592230645
1.237422,0.02584477706870743,0.010478733221339428
1.2404,0.025870497866240013,0.01043957828098731
1.242646,0.025895984355914028,0.010402270281320033
1.245061,0.02592225983370917,0.010526520823353355
1.247878,0.025946874665050426,0.01049333518202164
1.250655,0.025972442210707082,0.010454455219177062
1.253683,0.025999425724225405,0.010576141702145771
1.255459,0.026024262805270912,0.010540642001250957
1.258389,0.026048732601980023,0.010507677208670713
1.260855,0.026074138975909336,0.01046909198382781
1.263882,0.02610129944539882,0.010588255032011306
1.265905,0.026125980372654335,0.010553035609119544
1.268356,0.026150296493632572,0.010520330212566398
1.270726,0.026175533406738203,0.01048207975725489
1.273439,0.02620286768927519,0.010599617940289316
1.27582,0.026227384134658038,0.010564709514271886
1.278866,0.026251538574040077,0.010532292288106822
1.281119,0.02627659877448891,0.010494401146425572
1.283447,0.02630411996691959,0.010611412437392435
1.285868,0.026328464434755075,0.010576830016270099
1.288568,0.026352449956959262,0.010544714866798185
1.290937,0.02637732727285826,0.010507189267186573
1.293221,0.026404980877960407,0.010621121200351576
1.296293,0.026429149681423562,0.010586885157195594
1.298558,0.026452962694796106,0.01055509131153991
1.301026,0.026477652489690882,0.010517959194705166
1.303843,0.026505472852240895,0.010631045243547016
1.305494,0.026529459778635966,0.010597167989580183
1.30864,0.026553094276727158,0.010565706966704532
1.311037,0.026577590374751197,0.01052898021000271
1.31394,0.02660555878130696,0.010640555135749952
1.316482,0.026629358571184182,0.01060705163745591
1.318981,0.026652809471553,0.010575937416176129
1.321433,0.026677113175489004,0.010539589812707601
1.323926,0.02670522029108245,0.010649286373041968
1.326281,0.02672883487352981,0.01061613011411687
1.328553,0.026753259798837865,0.010577942586535454
1.331117,0.026777444511589827,0.010541586309609299
1.333766,0.026805611366123118,0.01065006180247751
1.336339,0.02682895117936991,0.010617732770116026
1.339128,0.026853090563031003,0.010580426633736333
1.341645,0.026876996027798195,0.010544905393503654
1.344118,0.02690521417444788,0.010652052898997462
1.3467,0.02692829214086743,0.010620471536605643
1.349089,0.026952167995537086,0.01058390854384448
1.351951,0.026975816206782712,0.01054908529582431
1.354603,0.02700415163318248,0.01065597090101624
1.357323,0.02702698618703118,0.010625006586367333
1.35919,0.027050596733862686,0.010589182294844263
1.362192,0.02707398344850212,0.010555066406014117
1.364501,0.027102292804029104,0.010658088475636686
1.366704,0.027124882852545155,0.010627773172237719
1.369117,0.02714824376229123,0.010592614284204754
1.371419,0.02717138598457799,0.01055912520916738
1.37416,0.027199807486883425,0.010661582170500257
1.37694,0.0272221655422721,0.010631821792113262
1.379314,0.027245283299871886,0.010597270431267873
1.381621,0.027268186348529715,0.010564357332997503
1.383925,0.027296713566430684,0.010665789605407643
1.387199,0.027318844386820272,0.010636541774535973
1.38961,0.027341720875866442,0.010602572668660453
1.392296,0.027364386119038554,0.01057021343278851
1.394989,0.027393018722882162,0.01067050018578445
1.396812,0.027414923437336314,0.010641746061835473
1.400089,0.027437562705116957,0.010608320514329583
1.402642,0.02745999428431949,0.01057647632655434
1.40502,0.027488715649037286,0.01067516146458387
1.407361,0.027510398099578906,0.010646868463061662
1.410393,0.02753280249086006,0.010613963067021406
1.412535,0.027555002372281794,0.010582612798066725
1.415072,0.027583765862574414,0.010678885811013675
1.416942,0.02760522822742326,0.01065103961002498
1.419913,0.027627408215067727,0.010618586738906418
1.422407,0.0276493872872425,0.010587660776754633
1.424907,0.027678297704674594,0.010683215614914424
1.427517,0.0276995479650775,0.0106557425966049
1.429883,0.02772148434568782,0.010623844071057315
1.432236,0.0277432209050664,0.010593457631489755
1.435384,0.027772218136223232,0.010687660376720259
1.437543,0.02779323753709934,0.010660670954325496
1.440468,0.027814937382849323,0.010629269214741806
1.442566,0.02783644137453126,0.01059934941587821
1.44516,0.02786561870809452,0.010693366884688624
1.447518,0.027886415120862554,0.010666786252041732
1.450255,0.027907882274360068,0.010635830215070483
1.452567,0.02792915669312993,0.010606331291277244
1.454913,0.027958371212208424,0.010697888328744362
1.457983,0.02797894867394755,0.010671688643303248
1.460686,0.02800018597313084,0.010641158999108237
1.462369,0.028021233269915315,0.010612063745956876
1.465098,0.028050394158825508,0.010700100372137302
1.468334,0.0280707554316711,0.010674271878153854
1.470114,0.028091762406230656,0.01064418242444861
1.473168,0.028121663422788424,0.010732860346851742
1.475659,0.028142090605299715,0.010705439207728875
1.478646,0.028162230378889888,0.010679965485573737
1.481053,0.028182995929727478,0.01065033414775368
1.483703,0.028212842577528784,0.0107358208301822
1.486093,0.02823303762222726,0.010708834003010667
1.488352,0.028252949743337995,0.010683763257226237
1.491459,0.02827348086656702,0.010654553146929093
1.493138,0.02830336257353102,0.010738011355817253
1.496294,0.028323332261101498,0.010711407840421048
1.498181,0.028343022979270553,0.010686692123320627
1.500918,0.028363319914098063,0.010657895347799392
1.503328,0.028393311318554566,0.0107402328458825
1.50562,0.028413054085678957,0.010714004779957475
1.50846,0.028432521802808666,0.010689636721967915
1.510714,0.02845259148411014,0.01066118777645057
1.512872,0.028472484115213796,0.010634064693937876
1.515185,0.028502475699818414,0.010718986289346248
1.517519,0.028521724549734007,0.010694889457076383
1.519701,0.028541554380597498,0.010666820589009592
1.522921,0.0285714321111462,0.010743294305610026
1.52544,0.02859072409714295,0.01071774791378177
1.527843,0.02860974821306265,0.010694010203184346
1.530095,0.028629326646545807,0.010666459279606506
1.532835,0.02864873023868942,0.010640205546710819
1.534626,0.028659581772431823,0.010744848815594024
1.537213,0.02869821984285057,0.01069083705872284
1.540011,0.028717627466720325,0.010663273301016478
1.542461,0.028736753761302032,0.010637574253202112
1.544952,0.028766643479693196,0.010715514032790177
1.547202,0.028785930287469265,0.010687328567529752
1.550313,0.02880503519748706,0.010660479777986712
1.55256,0.02882386596424766,0.01063544893538989
1.555718,0.028853803242511626,0.010712367425895278
1.558263,0.02887278931435206,0.010684891673919571
1.560893,0.028891598525947717,0.01065871707926177
1.56302,0.028910140595917455,0.010634315148063353
1.565543,0.028940142390716704,0.010710248050267933
1.568642,0.028958840066996595,0.010683401392204899
1.571693,0.028977366048719828,0.010657820060171486
1.574022,0.029007675535105554,0.010730692026389411
1.576258,0.0290256010100483,0.010707979996185623
1.578914,0.02904328763675058,0.010686886862890725
1.581624,0.02906150303160259,0.010662028290732425
1.584191,0.029092032817633853,0.010734090838065063
1.586598,0.029109771616333057,0.010711426218176534
1.589875,0.029127273648038146,0.010690364441314132
1.592397,0.029145249424627255,0.010665885320546332
1.595046,0.029175679988251577,0.010735315687090475
1.597203,0.02919318139670336,0.010713039157355058
1.599493,0.029210450259839437,0.010692337017584782
1.60251,0.029228202556458645,0.010668115276075644
1.604986,0.029258844054571003,0.01073688440061419
1.606539,0.02927612928275499,0.010714819594919612
1.609525,0.029293184503233507,0.01069431085162388
1.611738,0.02931070689332169,0.010670359532399365
1.614549,0.02934137098901634,0.010737215959502817
1.61616,0.029358431489790098,0.010715403204787297
1.619084,0.02937526489365702,0.010695126029829211
1.621248,0.029392553245626514,0.010671456060726876
1.623531,0.029423339212720615,0.010737112224416633
1.625799,0.029440170976944683,0.010715553994258737
1.629109,0.02945677863473389,0.01069551066209774
1.631704,0.029473829306325493,0.01067212209734943
1.63351,0.0295046855082291,0.010736254121054322
1.636443,0.02952128529347731,0.010714951924386151
1.638598,0.029538295473012385,0.010690458142758784
1.641443,0.0295551470857469,0.010667114039951882
1.644096,0.02958598615631971,0.010729742857660504
1.646544,0.029602293115111065,0.010709011475176661
1.648973,0.029619004437112944,0.010685103472793656
1.651581,0.029635562414812893,0.010662310248278057
1.653868,0.0296664575541031,0.010723852391793865
1.656053,0.029682484281684483,0.010703608848630915
1.658932,0.029698895667901525,0.01068030109700995
1.660999,0.029715157251351126,0.01065808307971744
1.663682,0.02974605939516899,0.010718304304518127
1.666003,0.029761803397372465,0.010698573408606839
1.668536,0.029777926977490963,0.01067578461351862
1.671193,0.02979390555366892,0.010654053299589062
1.67351,0.029824812605429893,0.010712813026185873
1.676393,0.029840285652826676,0.010693514174668484
1.678843,0.029856124071950447,0.010671230277540838
1.681282,0.02987182089295338,0.010649979718375835
1.683806,0.029902763497262855,0.010707445030401677
1.685694,0.02991796645454748,0.010688572892196749
1.688877,0.029933525065997463,0.01066675382516391
1.691059,0.029948945777697203,0.010645942323558723
1.693351,0.02998047462539437,0.010704642867570585
1.695542,0.029995409948286207,0.010686145677516535
1.698248,0.03001068861377769,0.010664755036110416
1.700745,0.030025832611813397,0.010644349720738676
1.703213,0.03005629689214472,0.010696524019641085
1.70565,0.030070971004188242,0.010678414520175318
1.708044,0.03008597540897245,0.010657476878740735
1.710285,0.030100848093215456,0.010637502605100047
1.712448,0.03011552196406737,0.010618856845947374
1.714839,0.030146246244601348,0.010672874049747701
1.717264,0.03016097681090967,0.010652348729040435
1.72042,0.030175578788854938,0.010632764456886929
1.722927,0.030206666461505143,0.010684768751733834
1.725441,0.030220816295424915,0.010667371753828125
1.727635,0.030235273139186107,0.01064724728484561
1.729781,0.030235273139186107,0.01064724728484561
1.732059,0.030263745742768886,0.01061011299116108
1.734447,0.030294630924450495,0.010661651711196294
1.736779,0.030308813434039475,0.010641924665670778
1.739369,0.030322872847420135,0.010623099062217901
1.741472,0.030336747181999857,0.010605518899168278
1.74426,0.030367780678535655,0.010656056613679727
1.746939,0.030381688738926552,0.010636714307631124
1.749462,0.03039547692702854,0.010618253684098024
1.751168,0.03040908391675484,0.010601011902150433
1.754002,0.030439977956669074,0.010649452007221906
1.756238,0.030453178349135985,0.010634189369594314
1.758565,0.030466675473062504,0.010616189740943454
1.760949,0.03048006686706396,0.010598979212085228
1.763773,0.030511300349007012,0.010646583603816661
1.765654,0.03052469842491209,0.01062779214836407
1.768145,0.03053797694008016,0.010609870708433845
1.770853,0.030551080529868827,0.010593128323749153
1.773407,0.03058193718716024,0.010638152521388966
1.775192,0.030594649180437198,0.010623328055737562
1.777487,0.03060761486201531,0.010606024374507675
1.780528,0.0306204769245374,0.010589491136808443
1.782405,0.030633178867715917,0.010574044899321752
1.785001,0.030664309979087014,0.010619695567974695
1.786733,0.03067703401846443,0.010602567560493659
1.789273,0.030689655267561483,0.010586201188562764
1.791796,0.030702118673491503,0.010570907127602653
1.79395,0.030733017769039927,0.010614073386578821
1.79609,0.03074549322396615,0.01059715538645715
1.798988,0.03075786681136396,0.010580989773463279
1.800858,0.03077008512219964,0.010565879972352614
1.803606,0.030801106160632974,0.010607748486438218
1.805695,0.030813327710133852,0.010591046468732613
1.808185,0.030825448740520314,0.0105750852717108
1.811282,0.03083741717708712,0.01056016296680921
1.812977,0.030868622607619193,0.010600896467789415
1.815057,0.030880579608299614,0.010584466199387936
1.817392,0.030892437100816413,0.010568768087217663
1.819764,0.030904145282390577,0.010554089096421226
1.822628,0.030915707754554416,0.010540405283492673
1.82512,0.030946932020285853,0.010576760555358037
1.826599,0.030958527072994842,0.010561296885063768
1.829574,0.030969975912926037,0.010546833343897508
1.831713,0.030981282098975934,0.010533346663618217
1.834059,0.0310122642011516,0.010571473986607625
1.836386,0.031023559141527227,0.010556516206478949
1.839253,0.03103476694081084,0.01054221132417119
1.841038,0.031045840908214214,0.010528831159292209
1.843521,0.031077303017246403,0.010566410912321147
1.845762,0.031088359751345048,0.010551537689523985
1.84796,0.03109933026861243,0.010537307587193942
1.850645,0.03111016842521305,0.010523992469178012
1.853221,0.031141410391615467,0.010559264307902248
1.855352,0.03115221419292579,0.01054457046265346
1.857602,0.031162931575088256,0.010530518296737795
1.860288,0.031173518957354054,0.010517366801068052
1.862346,0.0311839798148906,0.01050509523493377
1.864575,0.031214955787647866,0.01053577992146254
1.86711,0.03122541475763055,0.010521929288995978
1.869559,0.03123574641766077,0.010508962840441845
1.872554,0.031245954280377554,0.010496859964032762
1.874105,0.03127723283247552,0.010529972270385145
1.876856,0.031287406240931126,0.010516489229380354
1.879917,0.031297503966402206,0.010503578115930447
1.881871,0.031307484766771275,0.010491488119267266
1.883785,0.03133857638895617,0.010522456482981158
1.886308,0.03134850775530497,0.01050907231492387
1.888977,0.031358362839221846,0.010496260281540746
1.890699,0.031368102662922726,0.010484259391665184
1.893613,0.0313995420207261,0.010514240080647413
1.896001,0.03140921934983006,0.01050099580360075
1.898535,0.03141882081278879,0.0104883183035433
1.900462,0.03142830908000223,0.010476439623584336
1.903157,0.03145956250709782,0.010504460632979292
1.905304,0.031468980555082876,0.01049134744019959
1.907704,0.031478323790823014,0.010478791221753464
1.910796,0.03148755612544985,0.010467021934161557
1.913249,0.031518950078352065,0.010493674268706983
1.915515,0.03152792428196613,0.010483199538102374
1.918166,0.03153698007669711,0.010470991205360724
1.92058,0.031545969253811694,0.010459292527035924
1.92265,0.03155485662374486,0.010448323613702704
1.924853,0.031586358803889096,0.01047422229802419
1.927624,0.03159516125288187,0.010462147693684618
1.930123,0.0316038961851459,0.010450583573125661
1.932437,0.03161253116222081,0.010439737512654238
1.935004,0.03164408823525445,0.010464115396335226
1.936772,0.031652630209336806,0.010452161439457205
1.939699,0.03166110623237317,0.010440707636681762
1.942158,0.0316694840965283,0.010429960478705471
1.944331,0.03170083229791411,0.010452429077823759
1.946627,0.031709104325586386,0.010440662101913705
1.949435,0.03171731016206512,0.010429391336061713
1.951271,0.03172542049612509,0.010418812618869712
1.953745,0.03175681670498988,0.010439837382159737
1.956031,0.031764811758313,0.010428261675188793
1.958916,0.03177274255266922,0.010417171344367138
1.961106,0.031780580613228755,0.010406757910753755
1.963236,0.03181225683135458,0.010426612490566273
1.966047,0.031819877028407016,0.01041731080514016
1.968671,0.03182751332673804,0.01040657407757869
