t_sec,master_slave_pos_err_m
0.004285,0.009390452495521001
0.005404,0.009390452495521001
0.006173,0.009390452495521001
0.006945,0.010913983062123277
0.007681,0.010913983062123277
0.008328,0.010913983062123277
0.00901,0.010108285407672049
0.009705,0.010108285407672049
0.010363,0.010108285407672049
0.011764,0.009158431997290191
0.014097,0.008723791454901743
0.015961,0.007936096038083583
0.017809,0.007248436205231445
0.020181,0.006371368356236027
0.021467,0.006412066671867489
0.023321,0.0059293724870301025
0.02573,0.005500616657866135
0.027314,0.005500616657866135
0.030051,0.005125202134639762
0.034324,0.005189000005462233
0.03536,0.004874732112158145
0.036113,0.004874732112158145
0.037405,0.004726341506313436
0.039224,0.004457605450413624
0.040728,0.004540187998692032
0.04327,0.004320744008011105
0.045728,0.004212382225699187
0.047773,0.004212382225699187
0.04934,0.004110664830621462
0.05096,0.0035207941006535487
0.052475,0.0035207941006535487
0.055221,0.00574840982283693
0.056593,0.00574840982283693
0.058881,0.005559443263340001
0.060485,0.005615477767445483
0.062397,0.005615477767445483
0.064895,0.0074061326235826995
0.066383,0.0074061326235826995
0.068876,0.007027037393248453
0.070363,0.0148505048741357
0.072742,0.24667742689818242
0.074284,0.007307730268121739
0.076626,0.005677470036275607
0.078696,0.005463766871057299
0.080132,0.017528437633894573
0.08252,0.0054541813689620786
0.08387,0.0054541813689620786
0.086186,0.007073941570944911
0.087751,0.007073941570944911
0.090132,0.24983391124003362
0.091708,0.006794520750686633
0.093799,0.006823804229297401
0.09566,0.006823804229297401
0.097649,0.00845006557188134
0.099988,0.017468761386923642
0.10201,0.007363938228472105
0.103374,0.007363938228472105
0.105413,0.007363938228472105
0.107273,0.006735690266842441
0.10987,0.24872802866335403
0.11143,0.006217710207919184
0.113677,0.005749377110632433
0.115671,0.005749377110632433
0.117777,0.005749377110632433
0.11942,0.005749377110632433
0.121566,0.005793790308232819
0.123695,0.005793790308232819
0.125897,0.005793790308232819
0.127444,0.005793790308232819
0.129604,0.005793790308232819
0.131601,0.005844096705592804
0.133439,0.005844096705592804
0.135224,0.005844096705592804
0.137636,0.005844096705592804
0.139452,0.005844096705592804
