t_sec,joint1_pos,joint1_err,joint2_pos,joint2_err,joint3_pos,joint3_err,joint4_pos,joint4_err,joint5_pos,joint5_err,joint6_pos,joint6_err
-0.006564,0.029426514986277817,0.029426514986277817,0.2769609304709138,-0.19247751797596613,-0.709306771555418,-0.24354226764499204,0.5390732877924871,0.5390732877924871,0.6205158474353162,0.08088578265036461,-0.5852464690880508,-0.5852464690880508
-0.00472,0.027866754782884178,0.027866754782884178,0.27658217127261836,-0.19285627717426157,-0.7094119984837024,-0.24364749457327645,0.5405852772011964,0.5405852772011964,0.6198508331847437,0.08022076839979209,-0.5856698985250742,-0.5856698985250742
-0.002805,0.025502109347811695,0.025502109347811695,0.2770207358734413,-0.19241771257343865,-0.7100712434116646,-0.24430673950123866,0.5431020045410424,0.5431020045410424,0.6185039890403414,0.07887392425538986,-0.5861984741166993,-0.5861984741166993
-0.000864,0.02314748164404388,0.02314748164404388,0.27748305079853086,-0.19195539764834907,-0.7107305337905464,-0.24496602988012045,0.5456216896293843,0.5456216896293843,0.6171299852608859,0.07749992047593435,-0.5867296358697377,-0.5867296358697377
0.001119,0.020905857009068208,0.020905857009068208,0.27798262532349377,-0.19145582312338616,-0.7110484973453388,-0.24528399343491286,0.546723453824222,0.546723453824222,0.6153319033111635,0.07570183852621193,-0.5859531089074723,-0.5859531089074723
0.003124,0.01876334509371143,0.01876334509371143,0.2782808679542467,-0.1911575804926332,-0.7115593945865419,-0.24579489067611598,0.5489189142046722,0.5489189142046722,0.6140319602331187,0.07440189544816711,-0.5863736560088697,-0.5863736560088697
0.005108,0.01672229473999749,0.01672229473999749,0.27849492279070653,-0.1909435256561734,-0.7120393076173539,-0.24627480370692795,0.5511448606743915,0.5511448606743915,0.6128401622367816,0.07321009745183005,-0.5869277744354912,-0.5869277744354912
0.006996,0.014778021307441562,0.014778021307441562,0.27864228793425755,-0.19079616051262238,-0.7124648733849952,-0.24670036947456925,0.5532790852681241,0.5532790852681241,0.6117079220948513,0.07207785730989968,-0.5874883281220473,-0.5874883281220473
0.008981,0.012925222990869524,0.012925222990869524,0.2787283461248073,-0.19071010232207264,-0.7128365643603375,-0.24707206044991153,0.5553122374351147,0.5553122374351147,0.6106276964614674,0.07099763167651585,-0.5880406837056794,-0.5880406837056794
0.010919,0.011172459627690647,0.011172459627690647,0.2788660614466318,-0.1901022647279808,-0.7128640369381157,-0.24691072815127668,0.555865816499534,0.555865816499534,0.6090941236527694,0.06944641343469216,-0.5872119439694792,-0.5872119439694792
0.012966,0.009490303650575632,0.009490303650575632,0.2788163348484804,-0.1901519913261322,-0.7131147729305111,-0.24716146414367202,0.5576084090764133,0.5576084090764133,0.6080766427026513,0.06842893248457405,-0.5876475089548466,-0.5876475089548466
0.014835,0.00788356298796116,0.00788356298796116,0.2787017307040281,-0.1902665954705845,-0.7133530818997195,-0.24739977311288042,0.5594149376804022,0.5594149376804022,0.6071600030915418,0.06751229287346461,-0.5882241291671244,-0.5882241291671244
0.016804,0.006349095528074427,0.006349095528074427,0.27853937691737,-0.19042894925724257,-0.7135531093440862,-0.24759980055724717,0.5611543684047396,0.5611543684047396,0.6062928402858672,0.06664513006778994,-0.5888072860762561,-0.5888072860762561
0.018768,0.004882976402504528,0.004882976402504528,0.2783336467482943,-0.1906346794263183,-0.7137140356069281,-0.2477607268200891,0.5628149741690144,0.5628149741690144,0.605467519011398,0.06581980879332072,-0.5893812892705451,-0.5893812892705451
0.020748,0.003496676162491769,0.003496676162491769,0.2781976825457119,-0.19029581663121592,-0.7135413292178105,-0.24739725230240017,0.5629944619943088,0.5629944619943088,0.6041686721405458,0.06450362953855804,-0.5885519117394943,-0.5885519117394943
0.022666,0.0021586965914918467,0.0021586965914918467,0.277888803800137,-0.19060469537679087,-0.7136074953362419,-0.24746341842083153,0.564403530906273,0.564403530906273,0.6033860508886142,0.06372100828662641,-0.5890051648457942,-0.5890051648457942
0.024689,0.0008765196177496536,0.0008765196177496536,0.27752988311468674,-0.1909636160622411,-0.7136733964413725,-0.24752931952596213,0.5658971145563745,0.5658971145563745,0.6026959829514159,0.06303094034942813,-0.5896003037728477,-0.5896003037728477
0.026685,-0.00035173665475062043,-0.00035173665475062043,0.2771373314275274,-0.19135616774940045,-0.7137120482690691,-0.2475679713536587,0.5673408483243583,0.5673408483243583,0.6020463690748675,0.06238132647287975,-0.5902006953883853,-0.5902006953883853
0.028661,-0.001528948319407041,-0.001528948319407041,0.2767147202734956,-0.19177877890343226,-0.713721833398442,-0.2475777564830316,0.5687217097831604,0.5687217097831604,0.6014297481767947,0.061764705574806955,-0.5907903821775722,-0.5907903821775722
0.030513,-0.002641622283563673,-0.002641622283563673,0.27637526899985454,-0.19164182257455237,-0.7134062795913391,-0.24707072482291703,0.56862507624303,0.56862507624303,0.6003245276339757,0.06064258481692353,-0.5899643164635495,-0.5899643164635495
0.032474,-0.0037224990776915804,-0.0037224990776915804,0.2758738634200639,-0.19214322815434298,-0.7133395755539342,-0.2470040207855122,0.5697829734753084,0.5697829734753084,0.5997334764262157,0.06005153360916349,-0.5904293980640427,-0.5904293980640427
