t_sec,world_pos_err_m,world_orient_err_rad,base_pos_err_m,base_orient_err_rad,solve_time_us
0.004285,0.01089659797478123,0.05416307430543723,0.009405817761892782,0.04682277289699414,20.0
0.005404,0.010604581373101999,0.05174480958748521,0.010947940692062659,0.053144082531956065,31.0
0.006173,0.010103504839342968,0.0494060774386513,0.010644893761851014,0.05175593112853658,19.0
0.006945,0.009606466457948926,0.04717372565011677,0.010144817640822389,0.0495408870752498,22.0
0.007681,0.009143588799854037,0.04505110450641189,0.009659095233180908,0.0474289312906825,21.0
0.008328,0.008707481228241049,0.043025884245982866,0.009195696334075033,0.045213752232756504,21.0
0.00901,0.008298179116122247,0.041096065791456506,0.00876174405433699,0.04317752511232973,19.0
0.009705,0.007914749924334994,0.039257670881556024,0.008355392767400938,0.04124648451039268,24.0
0.010363,0.007555776379065497,0.037506515636740616,0.007975107524436012,0.03940807250741035,21.0
0.011764,0.007244904992037004,0.035848648421641094,0.007643989785188546,0.037783507821896566,22.0
0.014097,0.006936126972877757,0.03426212261718872,0.007320077785808089,0.03601225529776874,22.0
0.015961,0.006644488928079903,0.03275003697371723,0.00701206089343021,0.034412268427394824,22.0
0.017809,0.006371360497465064,0.031309918723254296,0.006723399025896177,0.032898685218316084,25.0
0.020181,0.006115954520166384,0.02993856609444509,0.006453582383283182,0.031458541793343044,24.0
0.021467,0.0059234211193126395,0.028649726774411792,0.006243889125235245,0.03023423134581936,22.0
0.023321,0.0057074273672109615,0.02740939255313377,0.006023589274491971,0.028813394634904076,20.0
0.02573,0.005500520878113963,0.026226740179970738,0.005806489926211672,0.027557406795704252,22.0
0.027314,0.00530652308348204,0.02510073909538677,0.0056022667744041734,0.026373009767910068,20.0
0.030051,0.005125200621507025,0.024028990463892487,0.005411436349440256,0.02524697489857187,21.0
0.034324,0.005023606433447752,0.02303437867378005,0.005293688032565464,0.024345647082133503,28.0
0.03536,0.004873683129275589,0.022067543822626868,0.005148542047079175,0.023197691842420536,36.0
0.036113,0.004726211401209361,0.02114487373018991,0.004995283229145067,0.02221268403422875,21.0
0.037405,0.00458743396617569,0.02026677978735355,0.004849883768884992,0.02128797682429502,23.0
0.039224,0.004457603460314086,0.019431529834160317,0.004713821623711939,0.020409828151250576,24.0
0.040728,0.0044238674943379705,0.01867263118732406,0.004663507027618398,0.019771096978123653,23.0
0.04327,0.0043194370266386095,0.017922075580686626,0.004571067275727774,0.01883494026581397,24.0
0.045728,0.004212222051012705,0.017204662011927677,0.00446100512383566,0.018063386023289704,25.0
0.047773,0.004110645229476379,0.01652227715819616,0.004355068359889898,0.017343599125445527,27.0
0.04934,0.004015367202073599,0.015873750457719736,0.004255575289437562,0.016661125062731052,25.0
0.05096,0.010524958628562776,0.09985308752406803,0.011832861202231267,0.11123713340405958,23.0
0.052475,0.004149077957112641,0.027263893349961352,0.0029821958784205923,0.015991629093824303,19.0
0.055221,0.005714592877031808,0.02610211150355589,0.004526608211091806,0.017843382428238005,21.0
0.056593,0.005741086552299379,0.025004246972719562,0.005844958538509008,0.02508691330039359,19.0
0.058881,0.005558927987693757,0.023935337025187697,0.005842616825987159,0.025014618655316172,20.0
0.060485,0.010822937703254421,0.1083408902967776,0.012504396864165128,0.11966490005061359,22.0
0.062397,0.005633089814815397,0.03549996915823881,0.003623144726519956,0.024454827161446056,23.0
0.064895,0.007380403315998409,0.03405747896633197,0.005904974149966355,0.02588588870171595,21.0
0.066383,0.007312523746956611,0.03258171347802375,0.007476575236993992,0.033032476930528416,20.0
0.068876,0.007026636742680701,0.031146450597236846,0.007387939758633513,0.03259274409307937,28.0
0.070363,0.21487125451500155,1.3672968823917573,0.21709787377868695,1.3556555435149713,24.0
0.072742,0.023579397984498596,0.18207018608920233,0.021766058650167515,0.19469581838997738,23.0
0.074284,0.005863609306318049,0.03771390762344919,0.006342850643167518,0.045101909557683596,21.0
0.076626,0.005734357600584797,0.03130442086352624,0.005651475129575037,0.024761669954911004,24.0
0.078696,0.005470748728938463,0.029888265163483266,0.005653849485804366,0.030188493999935253,21.0
0.080132,0.014306819824446414,0.11383732946118477,0.015736911012186557,0.12533977024838575,43.0
0.08252,0.006199296426207696,0.04134493506386026,0.004002397516509005,0.029370135129061094,20.0
0.08387,0.007212088177292742,0.03927809320735946,0.005522050416834932,0.031605799452952325,21.0
0.086186,0.007080482435371105,0.03750669821805758,0.007144514591159441,0.03806073794616993,19.0
0.087751,0.0067854965962814585,0.035840599637428465,0.007063389519758452,0.0373367011663567,20.0
0.090132,0.014141064835901182,0.12056668103857537,0.015832211792065506,0.13204430773859804,21.0
0.091708,0.007307906940916485,0.04693704458526438,0.004781042015910481,0.035775909816289676,45.0
0.093799,0.008639658260606512,0.044650180865867785,0.006875374895754977,0.03711432810343455,21.0
0.09566,0.008454150272040547,0.042634600606979205,0.008604170902277582,0.0434467952052151,20.0
